quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
105,000989,九芝堂,C 制造业,2026-07-07,8.16,0.1856,0.1,7.6517,8.01,8.68,8.84,9.62,0.8308,-1.2832,WEAK,0.32,1.6225,-23.5984,92762738.0,57.6667,SECONDARY_RESEARCH,,,
107,002698,博实股份,C 制造业,2026-07-07,12.75,0.26,0.088,14.2473,12.12,13.17,14.42,15.43,1.8097,-0.0063,WEAK,0.73,-3.1159,-15.288,244599719.5,57.5913,SECONDARY_RESEARCH,,,
108,002567,唐人神,C 制造业,2026-07-07,3.59,0.0184,0.092,12.5392,3.39,3.79,4.05,4.43,0.5929,-1.0908,WEAK,0.16,3.4877,-21.4967,82592428.55,57.5462,SECONDARY_RESEARCH,,,
110,002548,金新农,C 制造业,2026-07-07,4.02,0.1816,0.156,14.5299,3.89,4.44,5.36,5.06,0.3095,-2.2796,WEAK,0.22,-3.466,-33.5613,124064797.65,57.5021,SECONDARY_RESEARCH,,,
111,000049,德赛电池,C 制造业,2026-07-07,24.61,0.2752,0.284,10.6565,23.83,26.12,26.31,26.04,-0.132,-0.2622,WEAK,0.98,2.311,-10.9949,195286328.95,57.4346,SECONDARY_RESEARCH,,,
112,002500,山西证券,J 金融业,2026-07-07,5.31,0.2104,0.116,7.9268,5.22,5.37,5.64,5.98,1.4269,-0.3308,WEAK,0.19,5.2015,-14.7709,196352390.55,57.3731,SECONDARY_RESEARCH,,,
113,000650,仁和药业,C 制造业,2026-07-07,5.24,0.0176,0.064,5.01,5.2,5.46,5.69,5.87,-0.0288,-0.8804,WEAK,0.17,-2.1495,-19.9081,79982114.25,57.0003,SECONDARY_RESEARCH,,,
115,000545,金浦钛业,C 制造业,2026-07-07,2.65,0.268,0.176,14.2241,2.53,2.73,2.99,2.96,1.5249,-1.3835,WEAK,0.2,10.0407,-23.7571,191171257.95,56.8258,SECONDARY_RESEARCH,,,
116,002101,广东鸿图,C 制造业,2026-07-07,9.18,0.1344,0.088,10.3365,8.93,9.52,10.74,11.86,1.1616,-1.501,WEAK,0.36,2.5499,-26.2372,77850993.55,56.7194,SECONDARY_RESEARCH,,,
117,000012,南  玻Ａ,C 制造业,2026-07-07,4.23,0.02,0.1,16.2088,4.6,4.35,4.5,4.62,3.5127,0.7964,NONE,0.39,-4.5814,-13.7908,498023895.65,56.5706,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
118,002262,恩华药业,C 制造业,2026-07-07,19.77,0.3032,0.084,8.4476,19.22,20.58,21.94,23.27,0.3106,-1.1351,WEAK,0.75,-0.8181,-21.4058,211609590.6,56.4806,SECONDARY_RESEARCH,,,
119,002923,润都股份,C 制造业,2026-07-07,10.41,0.1832,0.08,11.6953,10.05,11.46,13.17,13.32,0.9391,-3.6061,WEAK,0.53,2.3201,-35.3177,87804644.8,56.3185,SECONDARY_RESEARCH,,,
120,000001,平安银行,J 金融业,2026-07-07,10.47,0.1392,0.036,4.1791,10.64,10.91,10.97,11.44,-1.4815,-0.6207,NONE,0.24,-7.8023,-15.1061,1258193351.55,56.3092,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
121,000576,甘化科工,C 制造业,2026-07-07,7.31,0.1632,0.072,12.2888,7.11,8.16,9.34,10.05,0.2752,-1.6865,WEAK,0.38,0.6693,-30.0722,80557730.25,56.2972,SECONDARY_RESEARCH,,,
122,002812,恩捷股份,C 制造业,2026-07-07,67.72,0.4976,0.796,159.7622,66.5,71.56,66.09,52.32,0.369,-0.2333,WEAK,3.99,8.1094,-10.1913,2172943816.75,56.2918,SECONDARY_RESEARCH,,,
123,002607,中公教育,P 教育,2026-07-07,2.26,0.08,0.096,25.5556,1.97,2.34,2.58,2.72,-2.1858,-2.0378,NONE,0.13,5.9286,-24.0933,460881465.25,56.1842,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
125,002728,特一药业,C 制造业,2026-07-07,8.97,0.2288,0.268,12.125,8.64,9.39,10.53,10.38,2.491,-1.6117,WEAK,0.57,5.8704,-28.6883,194102480.55,55.9911,SECONDARY_RESEARCH,,,
126,002174,游族网络,I 信息技术,2026-07-07,12.58,0.7152,0.716,40.0891,11.87,11.05,11.11,12.11,3.3069,2.0921,MEDIUM,0.69,14.298,17.2527,538654325.65,55.8551,SECONDARY_RESEARCH,,,
128,000166,申万宏源,J 金融业,2026-07-07,4.55,0.4448,0.112,6.8075,4.51,4.57,4.79,5.06,1.2335,-0.193,WEAK,0.17,4.0822,-12.4301,646999117.55,55.6652,SECONDARY_RESEARCH,,,
129,000768,中航西飞,C 制造业,2026-07-07,20.18,0.024,0.028,1.3561,20.67,22.46,25.34,25.81,-0.8727,-1.3744,NONE,0.62,-3.071,-26.489,627456678.05,55.644,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
131,002352,顺丰控股,G 运输仓储,2026-07-07,32.79,0.0112,0.056,6.392,32.45,35.0,36.45,39.64,-1.5696,-1.2586,NONE,0.84,-7.9017,-22.0185,856284689.5,55.608,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
132,000629,钒钛股份,C 制造业,2026-07-07,3.31,0.48,0.584,30.315,3.27,3.47,3.59,3.24,0.5683,0.2168,WEAK,0.2,2.3541,-11.638,650194184.55,55.5716,SECONDARY_RESEARCH,,,
133,000799,酒鬼酒,C 制造业,2026-07-07,38.6,0.0224,0.02,2.4144,40.54,42.17,46.32,52.31,-2.1352,-0.3474,NONE,2.63,-11.2778,-19.235,660614451.4,55.5487,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
134,000538,云南白药,C 制造业,2026-07-07,48.65,0.0272,0.04,3.5106,48.8,51.06,53.68,55.28,-0.2045,-1.1979,NONE,1.17,-4.4425,-21.4535,468987057.5,55.5026,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
135,000876,新 希 望,C 制造业,2026-07-07,7.42,0.0184,0.092,24.7059,6.55,7.75,8.23,8.99,-1.438,-1.3522,NONE,0.34,1.4882,-20.507,411172805.9,55.5018,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
136,002594,比亚迪,C 制造业,2026-07-07,86.26,0.0072,0.036,10.3069,86.09,94.48,95.52,120.2,-2.4211,-1.3231,NONE,3.26,-8.1316,-23.2013,4073067048.45,55.4667,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
139,002793,罗欣药业,C 制造业,2026-07-07,4.69,0.2664,0.18,23.4211,4.12,4.66,4.77,5.07,1.49,-1.1838,WEAK,0.25,11.9446,-15.9167,108680665.25,55.0897,SECONDARY_RESEARCH,,,
140,000661,长春高新,C 制造业,2026-07-07,66.06,0.0088,0.044,5.1911,66.22,76.68,84.48,96.52,-0.0083,-1.8667,NONE,3.48,-2.8311,-32.3157,626082052.55,55.0853,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
141,000983,山西焦煤,B 采矿业,2026-07-07,6.16,0.016,0.028,6.2069,6.52,6.69,6.86,6.94,-5.1755,-0.476,NONE,0.27,-20.9192,-14.232,602445925.75,55.0849,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
143,000034,神州数码,F 批发零售,2026-07-07,26.82,0.4848,0.092,21.0835,25.93,31.29,34.52,37.91,2.9136,-1.3565,WEAK,1.66,13.58,-29.7245,1318334235.5,54.8856,SECONDARY_RESEARCH,,,
