quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
765,002420,毅昌科技,C 制造业,2026-07-07,5.43,0.2072,0.012,0.3697,5.61,6.53,7.21,7.19,-1.0412,-2.1979,NONE,0.31,-6.7889,-37.6263,82835184.65,40.0185,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
766,002790,瑞尔特,C 制造业,2026-07-07,5.54,0.036,0.028,4.1353,5.73,6.69,7.49,7.82,-2.6428,-2.7821,NONE,0.23,-11.6069,-38.3837,24814476.0,40.0158,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
767,001318,阳光乳业,C 制造业,2026-07-07,10.19,0.0449,0.016,2.8254,10.56,12.1,13.42,14.05,-2.8652,-2.1378,NONE,0.36,-12.1475,-33.8789,21617071.6,40.0072,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
768,001210,金房能源,D 水电煤气,2026-07-07,20.02,0.4151,0.524,50.5263,23.06,24.71,23.5,19.67,-9.2089,0.2848,NONE,1.5,-15.7196,-14.2542,252468157.1,39.9946,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
769,001323,慕思股份,C 制造业,2026-07-07,16.4,0.0051,0.02,3.7975,17.35,21.1,23.71,26.37,-5.5944,-3.0151,NONE,0.64,-16.5456,-42.4787,24046363.6,39.9203,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
770,002020,京新药业,C 制造业,2026-07-07,15.05,0.8328,0.232,27.7589,12.87,13.95,15.39,17.01,3.8477,-1.1165,WEAK,0.85,19.6324,-15.635,268665712.65,39.9077,HARD_REJECT,price_too_high,,price_too_high
771,002412,汉森制药,C 制造业,2026-07-07,5.88,0.288,0.028,6.9091,5.97,6.52,6.73,6.7,-2.4129,-1.1813,NONE,0.26,-9.2436,-22.7074,59640044.7,39.8662,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
772,002345,潮宏基,C 制造业,2026-07-07,10.43,0.8192,0.204,21.8458,9.54,9.88,10.91,12.52,3.2192,-0.3629,WEAK,0.5,19.1205,-11.6684,248089634.6,39.8486,HARD_REJECT,price_too_high,,price_too_high
773,002116,中国海诚,E 建筑业,2026-07-07,6.82,0.108,0.012,1.037,7.77,9.03,9.88,10.21,-6.2696,-3.0125,NONE,0.34,-25.8369,-44.1427,23376425.65,39.8364,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
774,002749,国光股份,C 制造业,2026-07-07,7.87,0.0008,0.004,0.0,8.27,10.51,12.01,13.49,-3.06,-3.8062,NONE,0.3,-12.2655,-49.1149,23004532.7,39.7893,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
775,002383,合众思壮,C 制造业,2026-07-07,6.66,0.2408,0.012,0.6042,7.05,8.34,9.86,9.88,-2.6368,-2.5213,NONE,0.3,-13.4491,-40.1839,87221258.55,39.6886,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
776,000722,湖南发展,D 水电煤气,2026-07-07,11.19,0.4984,0.004,0.0,13.21,14.0,13.67,13.15,-6.808,-0.9012,NONE,0.78,-24.963,-22.5429,333036201.1,39.659,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
777,003022,联泓新科,C 制造业,2026-07-07,23.15,0.5512,0.816,49.1624,25.83,24.73,22.63,20.76,-0.972,1.1017,NONE,1.39,-1.0564,-1.3944,707549067.65,39.6549,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
778,002513,蓝丰生化,C 制造业,2026-07-07,4.75,0.2904,0.004,0.0,5.16,5.83,6.43,6.59,-3.3008,-1.7044,NONE,0.24,-15.2483,-32.2999,80356111.15,39.5717,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
779,000017,深中华A,C 制造业,2026-07-07,6.03,0.6408,0.14,20.1195,5.45,5.88,6.68,6.85,3.5854,-1.0293,WEAK,0.31,16.6807,-21.1568,71429263.1,39.5691,LOW_PRIORITY,,,
780,000423,东阿阿胶,C 制造业,2026-07-07,46.92,0.372,0.048,7.9117,46.89,50.37,51.71,50.44,-1.2947,-1.5185,NONE,1.43,-7.1652,-25.2891,242684345.35,39.5465,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
781,002769,普路通,L 商务服务,2026-07-07,6.54,0.2768,0.012,0.1531,7.13,8.58,10.16,9.79,-3.855,-3.1792,NONE,0.31,-17.7902,-45.4765,83760238.6,39.509,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
782,002228,合兴包装,C 制造业,2026-07-07,3.09,0.2248,0.036,5.102,3.12,3.51,3.92,3.84,-2.179,-1.9848,NONE,0.11,-7.3549,-30.7835,63337767.1,39.4958,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
783,002466,天齐锂业,C 制造业,2026-07-07,59.19,0.5192,0.716,88.2634,61.66,65.77,60.56,53.17,0.1681,0.4334,NONE,3.76,2.595,-6.8428,4573905129.6,39.4752,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
784,002637,赞宇科技,C 制造业,2026-07-07,10.86,0.4592,0.348,13.3612,11.32,11.89,12.37,11.56,-3.8154,-0.566,NONE,0.61,-14.9322,-19.1858,245489133.8,39.4382,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
785,002682,龙洲股份,G 运输仓储,2026-07-07,4.2,0.3496,0.004,0.0,4.54,5.33,6.09,5.87,-3.8323,-2.3956,NONE,0.2,-17.5326,-39.9062,80975427.5,39.3601,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
786,000037,深南电A,D 水电煤气,2026-07-07,8.25,0.4216,0.004,0.0,9.97,10.51,10.14,9.56,-5.9986,-1.2608,NONE,0.51,-23.0151,-25.0041,316285705.45,39.3416,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
787,002763,汇洁股份,C 制造业,2026-07-07,7.17,0.2536,0.22,5.5965,7.32,8.09,7.97,7.62,-2.7966,-0.6756,NONE,0.27,-10.8022,-18.9085,49424709.25,39.339,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
788,002093,国脉科技,I 信息技术,2026-07-07,6.16,0.2416,0.004,0.0,6.68,7.91,9.41,10.79,-3.0494,-3.1191,NONE,0.24,-15.5966,-45.1123,79840177.7,39.2983,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
789,002702,海欣食品,C 制造业,2026-07-07,4.43,0.2744,0.212,7.0048,4.76,5.36,5.9,5.62,-3.3989,-1.5121,NONE,0.17,-15.3486,-30.1531,69513504.65,39.1507,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
790,002864,盘龙药业,C 制造业,2026-07-07,27.27,0.2608,0.052,7.8718,27.0,29.21,32.07,31.6,-0.9101,-1.8555,NONE,1.24,-5.8858,-28.5914,52636223.55,39.1098,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
791,002967,广电计量,M 科研服务,2026-07-07,18.42,0.4416,0.176,7.4679,18.38,20.44,21.6,20.67,-1.0977,-0.5714,NONE,0.75,-0.7319,-19.3501,166391573.65,38.9062,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
792,003027,同兴科技,N 公共环保,2026-07-07,16.6,0.2224,0.004,0.0,18.7,21.93,22.04,20.87,-4.633,-1.2212,NONE,0.93,-19.0559,-31.0684,72083888.4,38.8557,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
793,002933,新兴装备,C 制造业,2026-07-07,26.35,0.2336,0.02,2.9297,27.64,29.79,32.38,33.65,-2.2527,-1.5531,NONE,1.33,-10.8174,-28.7903,55989643.25,38.8438,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
794,002828,贝肯能源,B 采矿业,2026-07-07,11.87,0.928,0.704,33.6712,9.95,10.72,11.87,11.35,4.5118,-1.6497,WEAK,0.82,22.8832,-13.5376,194098210.35,38.8073,HARD_REJECT,price_too_high,,price_too_high
795,002476,新叶股份,C 制造业,2026-07-07,4.57,0.3312,0.004,0.0,5.08,5.51,6.0,5.81,-1.9981,-1.5589,NONE,0.25,-12.5872,-32.508,62997069.25,38.7777,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
796,002877,智能自控,C 制造业,2026-07-07,7.07,0.3168,0.016,0.7123,7.5,8.38,8.92,8.95,-3.0311,-1.3012,NONE,0.28,-17.3388,-28.3537,62922137.5,38.713,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
797,002919,名臣健康,I 信息技术,2026-07-07,20.91,0.3824,0.56,44.3064,20.09,21.9,22.78,20.34,-0.9784,0.2303,NONE,1.22,-2.293,-7.6506,129287912.5,38.7054,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
798,002456,欧菲光,C 制造业,2026-07-07,9.09,0.6184,0.172,7.4468,9.18,9.17,9.48,10.77,-1.1419,0.4583,NONE,0.52,-4.3487,-7.7572,1256890519.4,38.6894,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
799,002701,奥瑞金,C 制造业,2026-07-07,4.83,0.3616,0.088,13.3803,4.47,4.97,5.26,5.55,-1.9412,-0.9169,NONE,0.17,0.0407,-14.9981,141148069.05,38.6223,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
