date,close,pe_ttm,pb,pe_anchor,pb_anchor,price_to_neutral,neutral_value,ret,code
2018-12-27,8.08,111.01570113,3.88305064,,,,,-0.017031630170316392,000831
2018-12-28,8.13,111.6828628,3.90638628,,,,,0.006188118811881305,000831
2019-01-02,8.03,110.34853947,3.81954876,,,,,-0.012300123001230179,000831
2019-01-03,8.13,111.6828628,3.86573436,,,,,0.012453300124533273,000831
2019-01-04,8.53,117.02015612,4.05047674,,,,,0.04920049200491983,000831
2019-01-07,8.78,120.35596445,4.16594073,,,,,0.029308323563892236,000831
2019-01-08,8.65,118.62134412,4.10589945,,,,,-0.01480637813211838,000831
2019-01-09,8.59,117.82075012,4.0781881,,,,,-0.006936416184971206,000831
2019-01-10,8.5,116.61985912,4.03662106,,,,,-0.010477299185098987,000831
2019-01-11,8.57,117.55388545,4.06895098,,,,,0.008235294117647118,000831
2019-01-14,8.53,117.02015612,4.05047674,,,,,-0.004667444574095736,000831
2019-01-15,8.6,117.95418245,4.08280666,128.745819125,4.976598805,0.8669682575007005,9.919624998488542,0.008206330597889888,000831
2019-01-16,8.5,116.61985912,4.03662106,128.72943682,4.96942447,0.8578340197063665,9.908676742511936,-0.011627906976744096,000831
2019-01-17,8.55,117.28702079,4.05971386,128.72943682,4.96634514,0.8630089626841666,9.907197224704866,0.00588235294117645,000831
2019-01-18,8.7,119.28850579,4.12899225,128.72943682,4.96326581,0.878008319840528,9.90878993217305,0.01754385964912264,000831
2019-01-21,8.65,118.62134412,4.10589945,128.60591541,4.959170800000001,0.8738775242309206,9.89841226047399,-0.005747126436781436,000831
2019-01-22,8.45,115.95269746,4.01352826,128.482394,4.95507579,0.8549813273092399,9.8832567801141,-0.023121387283237094,000831
2019-01-23,8.44,115.81926512,4.0089097,128.28871688499999,4.95482548,0.8546634421679955,9.875232265218388,-0.0011834319526626835,000831
2019-01-24,8.42,115.55240046,3.99967258,128.09503977,4.95457517,0.8533601116790044,9.866877868750473,-0.0023696682464454666,000831
2019-01-25,8.35,114.61837413,3.96734267,127.99015206499999,4.95457517,0.8468090485706903,9.860546499938533,-0.008313539192399078,000831
2019-01-28,8.22,112.8837538,3.90730139,127.88526436,4.95457517,0.8343354826293299,9.852152007362125,-0.015568862275448958,000831
2019-01-29,8.08,111.01570113,3.84264156,127.790003565,4.952434035,0.821011707074021,9.841516181049439,-0.017031630170316392,000831
2019-01-30,8.04,110.4819718,3.82416732,127.69474277,4.9502929,0.8175459931323407,9.834309100085724,-0.004950495049505066,000831
2019-01-31,8.14,111.81629513,3.87035292,127.09335232000001,4.9477422,0.8295888079556235,9.812089943763352,0.012437810945273853,000831
2019-02-01,8.37,114.88523879,3.97657979,126.49196187,4.9451915,0.8546020787116552,9.794031875768532,0.02825552825552813,000831
2019-02-11,8.59,117.82075012,4.0781881,126.35947449,4.9404996699999995,0.8773142334827682,9.791246593480375,0.0262843488649942,000831
2019-02-12,8.62,118.22104712,4.09204377,126.22698711,4.93580784,0.8811752820705625,9.782389696343898,0.0034924330616996624,000831
2019-02-13,8.79,120.48939678,4.17055929,126.06090967,4.93499601,0.8987480137398924,9.780271962352199,0.019721577726218076,000831
2019-02-14,8.71,119.42193812,4.13361081,125.89483223,4.93418418,0.8914463677230877,9.770638274343847,-0.0091012514220703,000831
2019-02-15,8.66,118.75477645,4.11051801,125.883319425,4.93028131,0.8868575709298748,9.764814874298185,-0.005740528128587941,000831
2019-02-18,8.92,122.22401711,4.23060056,125.87180662,4.92637844,0.9131690210190845,9.768180692382007,0.03002309468822162,000831
2019-02-19,8.86,121.42342311,4.2028892,125.684276215,4.9240553899999995,0.9080782369633978,9.756868559726447,-0.006726457399103158,000831
2019-02-20,8.96,122.75774645,4.2490748,125.49674581,4.92173234,0.9189595887825226,9.750156709143866,0.011286681715575675,000831
2019-02-21,8.88,121.69028778,4.21212632,125.19818099,4.92173234,0.9120541992463949,9.736263488877414,-0.008928571428571397,000831
2019-02-22,9.02,123.55834044,4.27678616,124.89961617,4.92173234,0.927161209922149,9.728620981412048,0.015765765765765716,000831
2019-02-25,9.76,133.43233309,4.61855957,124.849855365,4.919386425,1.0016922730694777,9.743511318194068,0.08203991130820398,000831
2019-02-26,9.98,136.36784442,4.72016788,124.89961617,4.91704051,1.0237696849051316,9.748286306138088,0.02254098360655754,000831
2019-02-27,9.71,132.76517143,4.59546677,125.19818099,4.91704051,0.9955337610584779,9.753561737249445,-0.027054108216432837,000831
2019-02-28,9.66,132.09800976,4.57237397,125.49674581,4.91704051,0.9893521084290234,9.763965647517507,-0.005149330587023715,000831
2019-03-01,9.67,132.2314421,4.57699253,125.684276215,4.907656845,0.990557979065682,9.762174657480399,0.0010351966873705098,000831
2019-03-04,9.79,133.83263009,4.63241524,125.87180662,4.89827318,1.0027646447290552,9.763008749321468,0.012409513960703222,000831
2019-03-05,10.04,137.16843842,4.74787923,125.883319425,4.893581345,1.0282043333105926,9.764596077584502,0.025536261491317713,000831
2019-03-06,10.66,145.44124307,5.03422993,125.89483223,4.88888951,1.0906897950848042,9.773631373502633,0.06175298804780893,000831
2019-03-07,11.25,153.31375072,5.30672494,126.06090967,4.893581345,1.1484186026428094,9.79607956028475,0.05534709193245768,000831
2019-03-08,10.41,142.10543474,4.91876594,126.22698711,4.89827318,1.0632510323137938,9.79072644523681,-0.07466666666666666,000831
