strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v32_candidate,2020-09-30,600580,卧龙电驱,BUY_STAGED,HIGH,True,0,0.8373397529150162,11.19020083231494,9.37,0.057220850423110974,0.0625,0.0052791495768890265,5.2791495768890266e-06
v32_candidate,2020-09-30,600809,山西汾酒,REDUCE_25,MEDIUM,True,2,1.2972313371564643,91.97280129042208,119.31,0.7988310180522181,0.09375,-0.7050810180522181,0.0007050810180522181
v32_candidate,2020-10-30,600580,卧龙电驱,BUY_STAGED,HIGH,True,0,0.8427015869785062,11.19020083231494,9.43,0.06061285024765417,0.0625,0.0018871497523458292,1.8871497523458291e-06
v32_candidate,2020-10-30,600809,山西汾酒,REDUCE_50,MEDIUM,True,2,1.470956179673815,94.19043334841118,138.55,0.1049091934841977,0.0625,-0.042409193484197694,4.240919348419769e-05
v32_candidate,2020-11-30,600809,山西汾酒,REDUCE_50,MEDIUM,True,2,1.5889087105736783,94.19043334841118,149.66,0.06641877145709675,0.0625,-0.003918771457096751,3.918771457096751e-06
v32_candidate,2020-12-31,002444,巨星科技,REDUCE_25,MEDIUM,True,2,1.3814262595503453,21.369218802608238,29.52,0.10275398415300967,0.09375,-0.009003984153009667,9.003984153009666e-06
v32_candidate,2020-12-31,600809,山西汾酒,CORE_ONLY,MEDIUM,True,2,2.609713017146304,94.19043334841118,245.81,0.09636509461866459,0.03125,-0.06511509461866459,6.511509461866459e-05
v32_candidate,2021-01-29,002444,巨星科技,REDUCE_50,MEDIUM,True,2,1.516199553165013,21.369218802608238,32.4,0.10369889589057968,0.0625,-0.04119889589057968,4.119889589057968e-05
v32_candidate,2021-01-29,600809,山西汾酒,CORE_ONLY,MEDIUM,True,2,2.603130607681145,94.19043334841118,245.19,0.03141430293556634,0.03125,-0.0001643029355663378,1.6430293556633778e-07
v32_candidate,2021-03-31,002444,巨星科技,REDUCE_50,MEDIUM,True,2,1.5681434267456662,21.369218802608238,33.51,0.06543140950196023,0.0625,-0.002931409501960233,2.9314095019602335e-06
v32_candidate,2021-03-31,600580,卧龙电驱,BUY_STAGED,MEDIUM,True,0,0.8266289749448263,10.064975039805883,8.32,0.05195175577614628,0.0625,0.010548244223853719,1.0548244223853719e-05
v32_candidate,2021-04-30,000895,双汇发展,BUY_STAGED,HIGH,True,0,0.7603270038494467,36.49745419997579,27.75,0.014631676026825245,0.0625,0.04786832397317475,4.7868323973174754e-05
v32_candidate,2021-04-30,600580,卧龙电驱,BUY_STAGED,MEDIUM,True,0,0.788122035007431,10.30297293987401,8.12,0.060425447746872155,0.0625,0.0020745522531278454,2.0745522531278456e-06
v32_candidate,2021-04-30,600809,山西汾酒,CORE_ONLY,MEDIUM,True,2,2.731097646305743,99.14694934700496,270.78,0.03460571682548747,0.03125,-0.0033557168254874717,3.355716825487472e-06
v32_candidate,2021-05-31,600809,山西汾酒,CORE_ONLY,MEDIUM,True,2,3.110231853132809,99.14694934700496,308.37,0.035498689672622305,0.03125,-0.004248689672622305,4.248689672622305e-06
v32_candidate,2021-06-30,000895,双汇发展,BUY_A_LEVEL,HIGH,True,0,0.6737456225101944,36.49745419997579,24.59,0.055097979121170315,0.09375,0.038652020878829685,3.8652020878829687e-05
v32_candidate,2021-07-30,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.5060626940936678,36.49745419997579,18.47,0.07318125342228776,0.125,0.05181874657771224,5.181874657771224e-05
v32_candidate,2021-08-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,True,0,0.7011318022339986,45.440814264144464,31.86,0.060142385657120025,0.09375,0.033607614342879975,3.360761434287998e-05
v32_candidate,2021-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.4989173682475098,33.85330131786668,16.89,0.11295737424478071,0.125,0.012042625755219291,1.2042625755219291e-05
v32_candidate,2021-09-30,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5697521142447654,45.440814264144464,25.89,0.07643669389412178,0.125,0.04856330610587822,4.856330610587822e-05
v32_candidate,2021-11-30,600188,兖矿能源,BUY_FULL_MARGIN,HIGH,True,0,0.2535955358849796,23.65972247524637,6.0,0.0,0.125,0.125,0.000125
v32_candidate,2022-01-28,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5615006456794667,42.04803713347428,23.61,0.11182723031699081,0.125,0.013172769683009192,1.3172769683009192e-05
v32_candidate,2022-02-28,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.4378325661566701,42.04803713347428,18.41,0.09139058246121361,0.125,0.03360941753878639,3.360941753878639e-05
v32_candidate,2022-03-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.3536431427892278,42.04803713347428,14.87,0.0979351195175888,0.125,0.027064880482411194,2.7064880482411194e-05
v32_candidate,2022-04-29,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5852483063685101,23.71642916171082,13.88,0.12197579510204809,0.125,0.00302420489795191,3.02420489795191e-06
v32_candidate,2022-04-29,600580,卧龙电驱,BUY_A_LEVEL,HIGH,True,0,0.6763179006369466,12.508910368973662,8.46,0.06226220327042022,0.09375,0.03148779672957978,3.148779672957978e-05
v32_candidate,2022-05-31,002415,海康威视,BUY_A_LEVEL,MEDIUM,True,0,0.7490057563891501,39.492353360007485,29.58,0.0,0.09375,0.09375,9.375e-05
v32_candidate,2022-05-31,000895,双汇发展,REDUCE_25,MEDIUM,True,2,1.3574609509498283,16.523495563025598,22.43,0.14679571586561851,0.09375,-0.053045715865618515,5.304571586561852e-05
v32_candidate,2022-06-30,000895,双汇发展,REDUCE_50,MEDIUM,True,2,1.4155600375709536,16.523495563025598,23.39,0.09222410586406062,0.0625,-0.029724105864060615,2.9724105864060616e-05
v32_candidate,2022-07-29,002415,海康威视,BUY_A_LEVEL,MEDIUM,True,0,0.7160879915715066,39.492353360007485,28.28,0.08648189074900131,0.09375,0.007268109250998689,7.268109250998689e-06
v32_candidate,2022-08-31,002415,海康威视,BUY_A_LEVEL,MEDIUM,True,0,0.6839644667154998,38.671599603729234,26.45,0.07806021572474432,0.09375,0.015689784275255678,1.568978427525568e-05
v32_candidate,2023-05-31,002415,海康威视,REDUCE_50,MEDIUM,True,2,1.490547467716893,21.1264657329122,31.49,0.14344838695817605,0.0625,-0.08094838695817605,8.094838695817606e-05
v32_candidate,2023-05-31,600809,山西汾酒,BUY_A_LEVEL,MEDIUM,True,0,0.7120720132752633,266.15285598471894,189.52,0.019205000996574385,0.09375,0.07454499900342562,7.454499900342562e-05
v32_candidate,2023-06-30,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,1.835130697709336,6.359220089646387,11.67,0.12415773093278673,0.03125,-0.09290773093278673,9.290773093278673e-05
v32_candidate,2023-06-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.6315168002918228,266.15285598471894,168.08,0.07652022703983793,0.125,0.048479772960162065,4.8479772960162064e-05
v32_candidate,2023-08-31,002415,海康威视,CORE_ONLY,MEDIUM,True,2,1.935765294314817,16.463772800142436,31.87,0.05654289064252503,0.03125,-0.02529289064252503,2.5292890642525034e-05
v32_candidate,2023-10-31,600580,卧龙电驱,BUY_STAGED,HIGH,True,0,0.7633050792238637,11.764627597042791,8.98,0.02246238768215002,0.0625,0.04003761231784998,4.0037612317849985e-05
v32_candidate,2024-01-31,600580,卧龙电驱,BUY_FULL_MARGIN,HIGH,True,0,0.6417542703942283,11.764627597042791,7.55,0.05258415973850309,0.125,0.07241584026149692,7.241584026149691e-05
v32_candidate,2024-05-31,600580,卧龙电驱,REDUCE_50,HIGH,True,2,1.689621664856224,6.486659249206909,10.96,0.15529832762251009,0.0625,-0.09279832762251009,9.279832762251008e-05
v32_candidate,2024-06-28,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.5450960194340452,355.6988000046477,193.89,0.12330954035750541,0.125,0.0016904596424945906,1.6904596424945907e-06
v32_candidate,2024-07-31,600580,卧龙电驱,REDUCE_50,HIGH,True,2,1.5169595969147118,6.486659249206909,9.84,0.06263382404649538,0.0625,-0.0001338240464953816,1.338240464953816e-07
v32_candidate,2024-07-31,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.4827398911600387,355.6988000046477,171.71,0.11559662331535445,0.125,0.009403376684645554,9.403376684645554e-06
v32_candidate,2024-08-30,600809,山西汾酒,BUY_FULL_MARGIN,HIGH,True,0,0.4662913421210998,352.16180350471376,164.21,0.12065818878694975,0.125,0.004341811213050245,4.3418112130502456e-06
v32_candidate,2024-09-30,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,2.229345649154016,4.620189787038456,10.3,0.05788452434301814,0.03125,-0.02663452434301814,2.663452434301814e-05
v32_candidate,2024-10-31,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,3.489156991863177,3.496546595194994,12.2,0.03903531851766902,0.03125,-0.007785318517669018,7.785318517669018e-06
v32_candidate,2024-12-31,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,4.012530540642653,3.496546595194994,14.03,0.03566585256999947,0.03125,-0.004415852569999469,4.415852569999469e-06
v32_candidate,2024-12-31,600809,山西汾酒,BUY_FULL_MARGIN,HIGH,True,0,0.4964870917080326,345.60817968034166,171.59,0.1198366840383118,0.125,0.005163315961688203,5.163315961688203e-06
v32_candidate,2025-01-27,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,4.847640246891873,3.496546595194994,16.95,0.03828877008326689,0.03125,-0.007038770083266893,7.038770083266894e-06
v32_candidate,2025-01-27,600809,山西汾酒,BUY_FULL_MARGIN,HIGH,True,0,0.4682759538552829,345.60817968034166,161.84,0.11956753376462301,0.125,0.005432466235376993,5.432466235376993e-06
v32_candidate,2025-02-28,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,6.028805687579981,3.496546595194994,21.08,0.03804918226768737,0.03125,-0.006799182267687373,6.799182267687373e-06
v32_candidate,2025-03-31,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,6.231863184647429,3.496546595194994,21.79,0.032246706801563337,0.03125,-0.0009967068015633365,9.967068015633365e-07
v32_candidate,2025-04-30,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,5.480254866624224,3.857484827712402,21.14,0.03283655340631854,0.03125,-0.0015865534063185388,1.5865534063185388e-06
v32_candidate,2025-07-31,600580,卧龙电驱,CORE_ONLY,MEDIUM,True,2,5.871701642811669,3.857484827712402,22.65,0.03154091082274475,0.03125,-0.00029091082274475266,2.909108227447527e-07
v32_candidate,2025-08-29,601766,中国中车,BUY_STAGED,HIGH,True,0,0.8301610130884017,8.92597927772227,7.41,0.0,0.0625,0.0625,6.25e-05
v32_candidate,2025-08-29,600580,卧龙电驱,CORE_ONLY,HIGH,True,2,5.348921382573823,6.191902559626542,33.12,0.04390137078394492,0.03125,-0.012651370783944918,1.2651370783944919e-05
v32_candidate,2025-09-30,601766,中国中车,BUY_STAGED,HIGH,True,0,0.8077545080117917,8.92597927772227,7.21,0.05995966225752628,0.0625,0.002540337742473718,2.540337742473718e-06
v32_candidate,2025-09-30,600580,卧龙电驱,CORE_ONLY,HIGH,True,2,7.790820274618395,6.191902559626542,48.24,0.044877545560203326,0.03125,-0.013627545560203326,1.3627545560203327e-05
v32_candidate,2025-11-28,601766,中国中车,BUY_A_LEVEL,MEDIUM,True,0,0.7238036326814663,9.850738070470271,7.13,0.06089234568010966,0.09375,0.03285765431989034,3.2857654319890344e-05
v32_candidate,2025-12-31,601766,中国中车,BUY_A_LEVEL,MEDIUM,True,0,0.6781217764813737,9.850738070470271,6.68,0.08898924632566961,0.09375,0.00476075367433039,4.76075367433039e-06
v32_candidate,2025-12-31,600580,卧龙电驱,CORE_ONLY,HIGH,True,2,6.108796572015487,8.00812392805867,48.92,0.03163274731669194,0.03125,-0.0003827473166919393,3.8274731669193927e-07
v32_candidate,2025-12-31,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.5789549057986602,285.23810463647715,165.14,0.12025859037217454,0.125,0.00474140962782546,4.74140962782546e-06
v32_candidate,2026-01-30,601766,中国中车,BUY_FULL_MARGIN,MEDIUM,True,0,0.6273641584812709,9.850738070470271,6.18,0.08544581046496413,0.125,0.039554189535035866,3.955418953503587e-05
v32_candidate,2026-01-30,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.5765358741588329,285.23810463647715,164.45,0.1226306682961365,0.125,0.0023693317038634976,2.369331703863498e-06
v32_candidate,2026-02-27,601766,中国中车,BUY_FULL_MARGIN,MEDIUM,True,0,0.6253338537612668,9.850738070470271,6.16,0.11858613121221354,0.125,0.006413868787786464,6.413868787786464e-06
v32_candidate,2026-02-27,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.5419682626099969,285.23810463647715,154.59,0.11183794619304996,0.125,0.013162053806950041,1.3162053806950042e-05
v32_candidate,2026-03-31,600809,山西汾酒,BUY_FULL_MARGIN,MEDIUM,True,0,0.478547563531047,285.23810463647715,136.5,0.11358364889378589,0.125,0.011416351106214112,1.1416351106214112e-05
v32_candidate,2026-04-30,601766,中国中车,BUY_FULL_MARGIN,HIGH,True,0,0.6458558503322387,9.057748717443165,5.85,0.11305695076390632,0.125,0.011943049236093684,1.1943049236093685e-05
v32_candidate,2026-04-30,600188,兖矿能源,CORE_ONLY,MEDIUM,True,2,2.378531776618768,9.47222997879297,22.53,0.31874980113712337,0.03125,-0.28749980113712337,0.00028749980113712336
v32_candidate,2026-04-30,600809,山西汾酒,BUY_FULL_MARGIN,HIGH,True,0,0.5937718490333012,230.37468048157373,136.79,0.11592824549332469,0.125,0.009071754506675314,9.071754506675315e-06
v32_candidate,2026-05-29,600809,山西汾酒,BUY_FULL_MARGIN,HIGH,True,0,0.5284434892997594,230.37468048157373,121.74,0.11566993912621651,0.125,0.009330060873783491,9.33006087378349e-06
v32_candidate,2026-06-30,601766,中国中车,BUY_FULL_MARGIN,HIGH,True,0,0.563053818238362,9.057748717443165,5.1,0.11927666975407503,0.125,0.0057233302459249735,5.723330245924974e-06
v32_candidate,2026-06-30,600809,山西汾酒,BUY_FULL_MARGIN,HIGH,True,0,0.4462730009438825,230.37468048157373,102.81,0.11112498376451825,0.125,0.013875016235481749,1.387501623548175e-05
v32_candidate,2026-08-24,600188,兖矿能源,CORE_ONLY,MEDIUM,True,2,2.304631543878726,9.47222997879297,21.83,0.03198879435137844,0.03125,-0.0007387943513784412,7.387943513784412e-07
