strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
current_v31_baseline,2020-04-30,002444,巨星科技,BUY_FULL_MARGIN,HIGH,True,0,0.4805287007881846,17.106158251353538,8.22,0.11576212072797956,0.125,0.009237879272020438,9.23787927202044e-06
current_v31_baseline,2020-05-29,002444,巨星科技,BUY_FULL_MARGIN,HIGH,True,0,0.5313875778789049,17.106158251353538,9.09,0.11342552574700233,0.125,0.011574474252997666,1.1574474252997667e-05
current_v31_baseline,2020-05-29,002415,海康威视,BUY_STAGED,MEDIUM,True,0,0.7607870104247623,30.70504580113382,23.36,0.0,0.0625,0.0625,6.25e-05
current_v31_baseline,2020-06-30,002444,巨星科技,BUY_FULL_MARGIN,HIGH,True,0,0.6015377531764501,17.106158251353538,10.29,0.1192925816705162,0.125,0.005707418329483793,5.7074183294837935e-06
current_v31_baseline,2020-06-30,002415,海康威视,BUY_STAGED,MEDIUM,True,0,0.8402527769246091,30.70504580113382,25.8,0.058194081479834806,0.0625,0.0043059185201651945,4.305918520165194e-06
current_v31_baseline,2020-06-30,000895,双汇发展,REDUCE_50,HIGH,True,0,1.4182749689802885,25.77779401006133,36.56,0.07189518104407519,0.0625,-0.00939518104407519,9.39518104407519e-06
current_v31_baseline,2020-07-31,000895,双汇发展,CORE_ONLY,HIGH,True,0,1.7495678638132113,25.77779401006133,45.1,0.05537396553863215,0.03125,-0.02412396553863215,2.412396553863215e-05
current_v31_baseline,2020-08-31,002444,巨星科技,REDUCE_25,MEDIUM,True,0,1.264978433700289,15.913314775743755,20.13,0.15739370620095727,0.09375,-0.06364370620095727,6.364370620095728e-05
current_v31_baseline,2020-08-31,000895,双汇发展,CORE_ONLY,MEDIUM,True,0,1.8223430612441989,29.61571898715501,53.97,0.03351348509073616,0.03125,-0.0022634850907361573,2.2634850907361575e-06
current_v31_baseline,2020-08-31,600809,山西汾酒,REDUCE_25,MEDIUM,True,0,1.2897291192146492,91.97280129042208,118.62,0.6294042737528387,0.09375,-0.5356542737528387,0.0005356542737528387
current_v31_baseline,2020-09-30,600809,山西汾酒,REDUCE_25,MEDIUM,True,0,1.2972313371564643,91.97280129042208,119.31,0.09611197585013458,0.09375,-0.002361975850134576,2.361975850134576e-06
current_v31_baseline,2020-10-30,600809,山西汾酒,REDUCE_50,MEDIUM,True,0,1.470956179673815,94.19043334841118,138.55,0.10457716701631008,0.0625,-0.04207716701631008,4.207716701631008e-05
current_v31_baseline,2020-11-30,002444,巨星科技,REDUCE_25,MEDIUM,True,0,1.234953895309404,21.369218802608238,26.39,0.107530717104356,0.09375,-0.013780717104355994,1.3780717104355994e-05
