variant,date,code,name,action,underlying_v31_action,valuation_confidence,tradable_today,execution_blocked_not_tradable,sell_confirmation_count,price_to_neutral,neutral_value,normalized_earnings,realistic_growth,market_implied_growth,expectation_gap
v32_candidate,2018-05-31,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,True,False,0,1.1112160224959065,15.586528316157182,1.217236677882598,0.0,0.0255366658426421,-0.0255366658426421
v32_candidate,2018-05-31,600188,兖矿能源,HOLD_REVIEW,HOLD_REVIEW,INVALID,True,False,0,,46.84148647878245,1.12641257868657,0.3,0.0,0.3
v32_candidate,2018-05-31,600580,卧龙电驱,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,3.8608607186337465,1.522976462637267,0.1189375063048699,0.0,0.3471189340011364,-0.3471189340011364
v32_candidate,2018-05-31,600809,山西汾酒,HOLD_REVIEW,BUY_FULL_MARGIN,LOW,True,False,0,0.486141076145238,45.62461616260045,1.097150099337231,0.3,0.1123195240783269,0.187680475921673
v32_candidate,2018-06-29,601766,中国中车,REDUCE_50,REDUCE_50,HIGH,True,False,2,1.550775117079456,3.8625845449989216,0.2990285866841691,0.0021050841322462,0.110018512629186,-0.1079134284969397
v32_candidate,2018-06-29,002444,巨星科技,HOLD_NO_ADD,HOLD_NO_ADD,HIGH,True,False,0,1.089130234696954,8.474652255492853,0.53,0.0540649231976897,0.0751288547911629,-0.0210639315934731
v32_candidate,2018-06-29,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,True,False,2,2.42166331722258,12.40469712959647,0.968750193621856,0.0,0.2219939159663231,-0.2219939159663231
v32_candidate,2018-06-29,600536,中国软件,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,11.719301793922432,1.087948772392915,0.084963830466418,0.0,0.6719552200821635,-0.6719552200821635
v32_candidate,2018-06-29,000895,双汇发展,HOLD,HOLD,MEDIUM,True,False,0,0.9257994921833675,15.586528316157182,1.217236677882598,0.0,0.0,0.0
v32_candidate,2018-06-29,600188,兖矿能源,HOLD_REVIEW,HOLD_REVIEW,INVALID,True,False,0,,46.84148647878245,1.12641257868657,0.3,0.0,0.3
v32_candidate,2018-06-29,600580,卧龙电驱,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,3.5062918771265656,1.522976462637267,0.1189375063048699,0.0,0.3207722490960357,-0.3207722490960357
v32_candidate,2018-06-29,600809,山西汾酒,HOLD_REVIEW,BUY_FULL_MARGIN,LOW,True,False,0,0.4615929244192386,45.62461616260045,1.097150099337231,0.3,0.0993398960405539,0.200660103959446
v32_candidate,2018-07-31,601766,中国中车,CORE_ONLY,CORE_ONLY,HIGH,True,False,2,1.7242341034639694,3.8625845449989216,0.2990285866841691,0.0021050841322462,0.1367535652074543,-0.134648481075208
v32_candidate,2018-07-31,002444,巨星科技,HOLD_NO_ADD,HOLD_NO_ADD,HIGH,True,False,0,1.0419306578953524,8.474652255492853,0.53,0.0540649231976897,0.0641783865060123,-0.0101134633083225
v32_candidate,2018-07-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,True,False,2,2.133465392552641,13.11481315688116,1.0242070122558795,0.0,0.1890282296612481,-0.1890282296612481
v32_candidate,2018-07-31,600536,中国软件,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,12.757953639187717,1.087948772392915,0.084963830466418,0.0,0.698530657570867,-0.698530657570867
v32_candidate,2018-07-31,000895,双汇发展,HOLD,HOLD,MEDIUM,True,False,0,0.8500930888031616,15.586528316157182,1.217236677882598,0.0,0.0,0.0
v32_candidate,2018-07-31,600188,兖矿能源,HOLD_REVIEW,HOLD_REVIEW,INVALID,True,False,0,,46.84148647878245,1.12641257868657,0.3,0.0,0.3
v32_candidate,2018-07-31,600580,卧龙电驱,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,3.624481490962293,1.522976462637267,0.1189375063048699,0.0,0.3298088514854213,-0.3298088514854213
v32_candidate,2018-07-31,600809,山西汾酒,HOLD_REVIEW,BUY_FULL_MARGIN,LOW,True,False,0,0.4315652745401144,45.62461616260045,1.097150099337231,0.3,0.0825832379865963,0.2174167620134036
v32_candidate,2018-08-31,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,True,False,2,1.503795064199327,4.322397482705416,0.3078619325762551,0.022287553195949,0.1232476669223156,-0.1009601137263666
v32_candidate,2018-08-31,002444,巨星科技,HOLD,HOLD,MEDIUM,True,False,0,0.9829311868933506,8.474652255492853,0.53,0.0540649231976897,0.049837043992092,0.0042278792055976
v32_candidate,2018-08-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,True,False,2,1.939791264708334,13.11481315688116,1.0242070122558795,0.0,0.1645401762238446,-0.1645401762238446
v32_candidate,2018-08-31,600536,中国软件,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,15.827951128732884,1.087948772392915,0.084963830466418,0.0,0.7672052953361772,-0.7672052953361772
v32_candidate,2018-08-31,000895,双汇发展,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,True,False,0,0.607320664900647,18.63924719546941,1.2462676260996104,0.0376862461066469,0.0,0.0376862461066469
v32_candidate,2018-08-31,600188,兖矿能源,HOLD_REVIEW,HOLD_REVIEW,INVALID,True,False,0,,51.019975337035376,1.2268940698529476,0.3,0.0,0.3
v32_candidate,2018-08-31,600580,卧龙电驱,HOLD_REVIEW,CORE_ONLY,LOW,True,False,0,2.555091879680816,2.046893124114713,0.1598530048410685,0.0,0.2360753908250136,-0.2360753908250136
v32_candidate,2018-08-31,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,True,False,0,0.2010941421361186,51.46843110424463,1.2376782326783065,0.3,0.0,0.3
v32_candidate,2018-09-28,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,True,False,2,1.58708217544729,4.322397482705416,0.3078619325762551,0.022287553195949,0.1368741278169704,-0.1145865746210213
