date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_owner_eps,historical_owner_eps_growth,assumed_growth,neutral_value_fundamental,quality_factor,ratio_fundamental,ret,code
2018-02-28,24.7,123.43092229,4.66355935,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.02830974188176527,002371
2018-03-01,26.14,130.6506051,4.9363388,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.058299595141700467,002371
2018-03-02,26.25,131.20032714,4.95710881,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.004208110175975444,002371
2018-03-05,26.79,133.91228921,5.05957419,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.020571428571428463,002371
2018-03-06,27.31,136.51430687,5.15788557,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.019410227696901705,002371
2018-03-07,27.57,137.79699163,5.20634892,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.009520322226290734,002371
2018-03-08,27.01,134.97508516,5.09972954,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.020311933260790616,002371
2018-03-09,27.59,137.87028791,5.20911826,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.021473528322843327,002371
2018-03-12,29.22,146.04282225,5.51789906,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.05907937658571938,002371
2018-03-13,28.51,142.48795305,5.38358633,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.024298425735797324,002371
2018-03-14,27.09,135.41486279,5.11634555,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.0498070852332515,002371
2018-03-15,27.57,137.79699163,5.20634892,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.017718715393133966,002371
2018-03-16,26.46,132.22647495,4.9958795,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.040261153427638696,002371
2018-03-19,27.18,135.81799229,5.13157689,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.027210884353741527,002371
2018-03-20,27.76,138.74984317,5.24235027,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.021339220014716664,002371
2018-03-21,26.76,133.76569667,5.05403552,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.03602305475504319,002371
2018-03-22,27.12,135.56145533,5.12188422,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.013452914798206317,002371
2018-03-23,25.48,127.35227285,4.81171875,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.06047197640117996,002371
2018-03-26,28.03,140.10582421,5.29358296,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.10007849293563575,002371
2018-03-27,30.39,151.86987589,5.73806115,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.08419550481626836,002371
2018-03-28,29.77,148.79143246,5.6217491,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.020401447844685783,002371
2018-03-29,30.58,152.82272742,5.7740625,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.027208599261000943,002371
2018-03-30,33.64,168.10500017,6.35146875,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.10006540222367577,002371
2018-04-02,32.81,163.96376079,6.1718055,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.02467300832342445,002371
2018-04-03,32.65,163.1575018,6.14145688,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.004876562023773401,002371
2018-04-04,32.63,163.08420552,6.13869791,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.0006125574272586309,002371
2018-04-09,33.35,166.67572286,6.27388721,,,,,2017-09-30,2017-10-30,,,0.0,,,,0.022065583818571932,002371
2018-04-10,32.2,160.9219655,6.05730843,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.03448275862068961,002371
2018-04-11,32.19,160.88531736,6.05592895,,,,,2017-09-30,2017-10-30,,,0.0,,,,-0.0003105590062113528,002371
2018-04-12,30.94,153.87110741,5.8214169,,,,,2017-12-31,2018-04-12,,,0.0,,,,-0.038831935383659366,002371
2018-04-13,32.5,161.60112513,6.11386722,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.050420168067226934,002371
2018-04-16,33.57,166.9246279,6.31527169,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.03292307692307683,002371
2018-04-17,34.42,171.15426023,6.47529169,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.025320226392612444,002371
2018-04-18,37.86,188.25510132,7.12226906,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.09994189424753053,002371
2018-04-19,38.67,192.30242192,7.27539164,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.021394611727416857,002371
2018-04-20,38.15,189.67713288,7.17606889,,,,,2017-12-31,2018-04-12,,,0.0,,,,-0.01344711662787701,002371
2018-04-23,35.6,177.02469822,6.6973884,,,,,2017-12-31,2018-04-12,,,0.0,,,,-0.06684141546526856,002371
2018-04-24,36.96,183.77023255,6.95259269,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.038202247191011285,002371
2018-04-25,37.09,184.42655481,6.97742338,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.0035173160173160856,002371
2018-04-26,38.34,190.66161627,7.21331492,,,,,2017-12-31,2018-04-12,,,0.0,,,,0.033701806416823965,002371
2018-04-27,36.17,179.83229899,6.80360856,,,,,2017-12-31,2018-04-12,,,0.0,,,,-0.056598852373500264,002371
2018-05-02,35.66,159.81513079,6.70842426,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.014100082941664538,002371
2018-05-03,37.51,168.09672918,7.05605389,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.05187885586090868,002371
2018-05-04,37.27,167.04509764,7.01191045,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.006398293788323017,002371
2018-05-07,37.91,169.90422089,7.13192544,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.017171988194258025,002371
2018-05-08,37.43,167.73523083,7.04087958,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.012661566868899965,002371
2018-05-09,38.3,171.64598563,7.20503802,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.023243387656959547,002371
2018-05-10,36.3,162.67425404,6.82843925,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.052219321148825104,002371
2018-05-11,35.04,157.05459799,6.59254771,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.034710743801652844,002371
2018-05-14,34.14,153.01238926,6.42287134,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.02568493150684925,002371
2018-05-15,35.09,157.25177891,6.60082461,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.027826596367896972,002371
2018-05-16,34.48,154.5241096,6.48632755,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.017383870048446992,002371
2018-05-17,35.42,158.73063576,6.66290133,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.02726218097447819,002371
2018-05-18,34.35,153.96543034,6.46287634,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.03020892151326937,002371
2018-05-21,35.63,159.68367685,6.70290633,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.037263464337700114,002371
2018-05-22,36.5,163.56156815,6.86568528,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.024417625596407477,002371
2018-05-23,36.88,165.30333289,6.93879786,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.010410958904109702,002371
2018-05-24,36.15,162.01698433,6.8008496,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.019793926247288596,002371
2018-05-25,34.3,153.73538594,6.45321996,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.051175656984785656,002371
2018-05-28,33.83,151.63212286,6.36493307,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.013702623906705513,002371
2018-05-29,33.53,150.28471995,6.30837428,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.008867868755542352,002371
2018-05-30,33.35,149.4631328,6.27388721,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.005368326871458384,002371
2018-05-31,32.1,143.84347676,6.03799568,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.03748125937031488,002371
2018-06-01,30.34,135.98910368,5.70829932,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0548286604361371,002371
2018-06-04,30.47,136.54778294,5.73175052,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.00428477257745552,002371
2018-06-05,32.26,144.59933693,6.06972378,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.058746307843780654,002371
2018-06-06,32.23,144.4350195,6.06282637,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0009299442033477989,002371
2018-06-07,31.85,142.75898173,5.99247275,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.011790257524045833,002371
2018-06-08,31.89,142.92329916,5.99937016,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.0012558869701726483,002371
2018-06-11,31.61,141.6744867,5.94694982,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.008780181875196025,002371
2018-06-12,32.21,144.33642904,6.05868792,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.018981335020563206,002371
2018-06-13,32.98,147.78709504,6.2035336,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.023905619372865505,002371
2018-06-14,34.52,154.68842703,6.49322496,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.046694966646452674,002371
2018-06-15,34.62,155.14851582,6.51253772,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.0028968713789105927,002371
2018-06-19,34.73,155.64146811,6.53322996,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.003177354130560417,002371
2018-06-20,35.2,157.74473119,6.62151685,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.013532968615030505,002371
2018-06-21,32.51,145.71669544,6.11662619,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.07642045454545465,002371
2018-06-22,30.8,138.02663979,5.79382724,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.052599200246078004,002371
2018-06-25,30.17,135.23324351,5.67657122,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.020454545454545392,002371
2018-06-26,31.88,142.89043567,5.99799068,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.05667882001988711,002371
2018-06-27,33.21,148.83872658,6.24767704,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.041718946047678784,002371
2018-06-28,33.11,148.37863778,6.22836429,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.003011141222523328,002371
2018-06-29,36.42,163.2329333,6.85189046,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.09996979764421643,002371
2018-07-02,36.5,163.56156815,6.67921651,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.0021965952773201902,002371
2018-07-03,38.89,174.17647402,7.11268787,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.06547945205479455,002371
2018-07-04,37.79,169.24695117,6.91138538,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.02828490614553869,002371
2018-07-05,37.04,165.92773912,6.7758417,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.019846520243450683,002371
2018-07-06,35.09,157.18605194,6.4188653,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0526457883369329,002371
2018-07-09,36.87,165.13901547,6.74363331,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.05072670276432012,002371
2018-07-10,37.76,169.11549723,6.90601731,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.024138866286954164,002371
2018-07-11,38.89,174.17647402,7.11268787,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.029925847457627164,002371
2018-07-12,39.25,175.81964831,7.1797887,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.009256878374903632,002371
2018-07-13,39.11,175.19524208,7.15429038,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0035668789808916967,002371
2018-07-16,39.55,177.13418773,7.23346936,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.011250319611352477,002371
2018-07-17,39.51,176.96987031,7.22675928,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0010113780025283736,002371
2018-07-18,37.47,167.83382129,6.85367867,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.051632498101746416,002371
2018-07-19,38.08,170.5614906,6.96506604,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.016279690419001902,002371
2018-07-20,39.07,174.99806117,7.14623828,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.025997899159663884,002371
2018-07-23,40.66,182.12943756,7.43745588,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.04069618633222416,002371
2018-07-24,40.35,180.74917116,7.38109118,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.007624200688637339,002371
2018-07-25,40.07,179.46749522,7.32875254,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0069392812887236754,002371
2018-07-26,38.71,173.38775037,7.08047947,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.03394060394309961,002371
2018-07-27,38.2,171.08730637,6.98653831,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.013174890209248225,002371
2018-07-30,37.03,120.50166775,6.77315767,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.03062827225130893,002371
2018-07-31,36.58,119.04523784,6.69129466,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.012152308938698453,002371
2018-08-01,36.89,120.04802564,6.74765936,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.008474576271186418,002371
2018-08-02,37.54,122.17298075,6.86709883,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.017619951206288897,002371
2018-08-03,35.64,115.98912263,6.51951654,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.0506126798082045,002371
2018-08-06,35.66,116.03687443,6.52220057,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.0005611672278338364,002371
2018-08-07,36.91,120.11965334,6.75168541,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.03505328098710048,002371
2018-08-08,34.18,111.21394261,6.25111322,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.07396369547548087,002371
2018-08-09,37.42,121.76709045,6.84428455,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.0947922761849036,002371
2018-08-10,38.85,126.42289097,7.10597778,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.038214858364510995,002371
2018-08-13,41.01,133.44240559,7.50053066,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.05559845559845544,002371
2018-08-14,39.28,127.83156907,7.18515676,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.04218483296756881,002371
2018-08-15,39.48,128.47621838,7.22139121,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.005091649694500822,002371
2018-08-16,37.71,122.72212645,6.89796521,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.04483282674772027,002371
2018-08-17,37.42,121.76709045,6.84428455,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.007690267833465936,002371
2018-08-20,38.53,125.39622726,7.04827107,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.029663281667557495,002371
2018-08-21,39.17,127.47343057,7.16502651,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.01661043342849733,002371
2018-08-22,38.12,124.03530096,6.97177613,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.026806229257084646,002371
2018-08-23,39.32,127.95094857,7.19186684,,,,,2018-03-31,2018-04-28,,,0.0,,,,0.03147953830010497,002371
2018-08-24,38.79,126.23188377,7.09524165,,,,,2018-03-31,2018-04-28,,,0.0,,,,-0.013479145473041743,002371
2018-08-27,39.67,129.09699178,7.25628364,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.022686259345192195,002371
2018-08-28,40.13,130.60117348,7.34083068,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.011595664229896663,002371
2018-08-29,39.13,127.33017517,7.15697441,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.024919013207077012,002371
2018-08-30,38.37,124.87095746,7.01874671,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.019422438027089317,002371
2018-08-31,38.14,124.10692866,6.97580218,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.005994266353922306,002371
2018-09-03,39.08,127.16304387,7.1475803,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.024646040901940225,002371
2018-09-04,40.66,132.32023829,7.43745588,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.04042988741044007,002371
2018-09-05,39.47,128.45234248,7.22004919,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.029267092966060004,002371
2018-09-06,40.43,131.55620949,7.39451135,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.024322270078540598,002371
2018-09-07,37.27,121.28957245,6.81744422,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.07815978233984655,002371
2018-09-10,35.67,116.08462623,6.5248846,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.042929970485645286,002371
2018-09-11,36.11,117.49330433,6.60406358,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.012335295766750631,002371
2018-09-12,35.28,114.79532762,6.45241571,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.0229853226253115,002371
2018-09-13,34.43,112.02572321,6.29674179,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.024092970521542023,002371
2018-09-14,33.09,107.6803094,6.05249477,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.038919546906767244,002371
2018-09-17,33.09,107.6803094,6.05249477,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.0,002371
2018-09-18,34.04,110.76030051,6.22561491,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.028709579933514418,002371
2018-09-19,34.68,112.86137972,6.34371237,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.018801410105757865,002371
2018-09-20,33.89,110.28278251,6.19877458,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.02277970011534025,002371
2018-09-21,34.0,110.64092101,6.21890482,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.0032457952198288176,002371
2018-09-25,34.89,113.55378082,6.38263085,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.026176470588235246,002371
2018-09-26,34.94,113.69703622,6.39068295,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.001433075379764892,002371
2018-09-27,34.92,113.64928442,6.38799891,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.0005724098454492621,002371
2018-09-28,34.53,112.35998582,6.31553002,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.011168384879725046,002371
2018-10-08,33.28,108.3010828,5.99898707,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.03620040544454095,002371
2018-10-09,30.8,100.23102857,5.5519726,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.07451923076923073,002371
2018-10-10,30.93,100.63691887,5.57445557,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.004220779220779125,002371
2018-10-11,28.78,93.66515605,5.18827739,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.06951180084060782,002371
2018-10-12,29.65,96.48251226,5.3443357,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.030229325920778205,002371
2018-10-15,29.58,96.26762916,5.33243295,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.0023608768971332683,002371
2018-10-16,29.45,95.83786295,5.30862744,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.0043948613928329605,002371
2018-10-17,30.44,99.06110947,5.48716872,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.03361629881154515,002371
2018-10-18,29.26,95.21708955,5.27424171,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.038764783180026297,002371
2018-10-19,29.79,96.93615436,5.36946373,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.018113465481886415,002371
2018-10-22,31.97,104.05117259,5.76357708,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.07317891910036933,002371
2018-10-23,30.62,99.63413107,5.5189094,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.04222708789490137,002371
2018-10-24,30.74,100.04002137,5.54139237,,,,,2018-06-30,2018-08-25,,,0.0,,,,0.003919007184846501,002371
2018-10-25,29.32,95.40809675,5.28482194,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.04619388418998038,002371
2018-10-26,28.89,94.02329455,5.20811531,,,,,2018-06-30,2018-08-25,,,0.0,,,,-0.014665757162346527,002371
2018-10-29,29.09,84.86204997,5.24382357,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.00692281066112832,002371
2018-10-30,27.44,80.04642292,4.94625477,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.05672052251632864,002371
2018-10-31,27.76,80.96674276,5.00312347,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.011661807580174877,002371
2018-11-01,28.37,82.76457686,5.11421582,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.021974063400576282,002371
2018-11-02,30.13,87.87984292,5.43030002,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.06203736341205501,002371
2018-11-05,30.56,89.14260735,5.50832917,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.014271490209093907,002371
2018-11-06,30.71,89.57066308,5.53477973,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.004908376963350891,002371
2018-11-07,31.1,90.72641358,5.60619625,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.012699446434386141,002371
2018-11-08,30.7,89.5492603,5.5334572,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.012861736334405238,002371
2018-11-09,30.33,88.47912095,5.4673308,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.012052117263843698,002371
2018-11-12,31.43,91.68953898,5.66571001,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.03626772172766235,002371
2018-11-13,31.2,91.02605259,5.62471164,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.007317849188673287,002371
2018-11-14,31.76,92.65266439,5.72522377,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.017948717948718107,002371
2018-11-15,32.27,94.12945669,5.8164782,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.016057934508816096,002371
2018-11-16,33.17,96.76199947,5.97914915,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.027889680818097284,002371
2018-11-19,32.87,95.88448521,5.9249255,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.00904431715405496,002371
2018-11-20,32.28,94.17226226,5.81912326,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.017949498022512778,002371
2018-11-21,31.43,91.68953898,5.66571001,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,-0.026332094175960385,002371
2018-11-22,31.44,91.71094177,5.66703253,,,,,2018-09-30,2018-10-27,,,0.0,,0.3447330307653569,,0.00031816735602929747,002371
