code,stock_name,balanced_exit_historical_profile,signal_count,avg_balanced_exit_net_return_60d,win_rate_balanced_exit_60d,avg_balanced_exit_max_drawdown_250d,source_signal_details,generated_at,rule
002812,恩捷股份,DEGRADED,334,5.3001,38.3234,-11.2465,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300014,亿纬锂能,FAILED,325,3.7895,24.6154,-12.4665,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300015,爱尔眼科,FAILED,388,-4.2261,11.3402,-10.9606,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300059,东方财富,FAILED,104,-3.6299,23.0769,-9.7607,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300124,汇川技术,PASSED,212,5.6255,45.283,-9.6015,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300274,阳光电源,PASSED,234,38.0915,57.265,-10.2806,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300454,深信服,DEGRADED,240,5.0817,41.6667,-10.2232,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300750,宁德时代,FAILED,156,0.8622,28.2051,-9.8997,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300760,迈瑞医疗,FAILED,452,-5.2675,8.4071,-9.6717,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
300782,卓胜微,FAILED,290,0.2367,29.6552,-11.8837,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
