strategy,date,code,name,valuation_type,action,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
UNIVERSAL_growth_tech,2024-03-29,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_50,1.5460132726264195,18.550940349481895,28.68,0.2000592666223062,0.125,-0.07505926662230619,7.50592666223062e-05
UNIVERSAL_growth_tech,2024-04-30,600183,生益科技,GROWTH_TECH_CONSENSUS,REDUCE_25,1.2045228346252148,14.27951343517016,17.2,0.19132700869347177,0.1875,-0.003827008693471773,3.827008693471773e-06
UNIVERSAL_growth_tech,2024-04-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_50,1.4963840549241223,21.384884378243818,32.0,0.1305960076940518,0.125,-0.005596007694051802,5.5960076940518025e-06
UNIVERSAL_growth_tech,2024-05-31,600183,生益科技,GROWTH_TECH_CONSENSUS,REDUCE_25,1.22859379535799,14.634617290054729,17.98,0.19698762424958127,0.1875,-0.009487624249581272,9.487624249581273e-06
UNIVERSAL_growth_tech,2024-06-28,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_50,1.5762811008404025,22.52136372191038,35.5,0.12508358292597038,0.125,-8.358292597038242e-05,8.358292597038242e-08
UNIVERSAL_growth_tech,2024-06-28,603160,汇顶科技,GROWTH_TECH_CONSENSUS,REDUCE_25,1.316522618880905,51.52209238733636,67.83,0.24649965469592056,0.1875,-0.058999654695920556,5.899965469592056e-05
UNIVERSAL_growth_tech,2024-07-31,002916,深南电路,GROWTH_TECH_CONSENSUS,REDUCE_25,1.205203388549803,69.23312761375627,83.44,0.33802845022683525,0.1875,-0.15052845022683525,0.00015052845022683526
UNIVERSAL_growth_tech,2024-09-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_50,1.4647675937231497,26.73461658204973,39.16,0.1339727783391588,0.125,-0.008972778339158799,8.972778339158799e-06
UNIVERSAL_growth_tech,2024-10-31,603160,汇顶科技,GROWTH_TECH_CONSENSUS,REDUCE_50,1.4259931929469265,62.21628577107944,88.72,0.22842762551081722,0.125,-0.10342762551081722,0.00010342762551081723
UNIVERSAL_growth_tech,2024-12-31,600183,生益科技,GROWTH_TECH_CONSENSUS,REDUCE_25,1.316076118958901,16.906316951941314,22.25,0.19078850863575267,0.1875,-0.0032885086357526683,3.2885086357526684e-06
UNIVERSAL_growth_tech,2024-12-31,002916,深南电路,GROWTH_TECH_CONSENSUS,REDUCE_25,1.2067681211940988,78.09288159414534,94.24,0.18887773817057413,0.1875,-0.0013777381705741276,1.3777381705741278e-06
UNIVERSAL_growth_tech,2025-01-27,600183,生益科技,GROWTH_TECH_CONSENSUS,REDUCE_50,1.6234249979834678,17.25980567923061,28.02,0.222529027635653,0.125,-0.09752902763565299,9.7529027635653e-05
UNIVERSAL_growth_tech,2025-02-28,002916,深南电路,GROWTH_TECH_CONSENSUS,REDUCE_25,1.2636310354631528,78.09241561072555,98.68,0.1889007694940876,0.1875,-0.0014007694940876003,1.4007694940876004e-06
UNIVERSAL_growth_tech,2025-04-30,002463,沪电股份,GROWTH_TECH_CONSENSUS,BUY_STAGED,0.7793057983646673,34.517900490986015,26.9,0.08498005410273247,0.125,0.040019945897267525,4.0019945897267526e-05
UNIVERSAL_growth_tech,2025-06-30,002916,深南电路,GROWTH_TECH_CONSENSUS,REDUCE_25,1.3228960430166035,81.00409746153807,107.16,0.19220029270157726,0.1875,-0.004700292701577263,4.700292701577263e-06
UNIVERSAL_growth_tech,2025-07-31,600183,生益科技,GROWTH_TECH_CONSENSUS,CORE_ONLY,1.9918891776165066,20.944940345487556,41.72,0.15297174019678753,0.0625,-0.09047174019678753,9.047174019678753e-05
UNIVERSAL_growth_tech,2025-07-31,002463,沪电股份,GROWTH_TECH_CONSENSUS,REDUCE_50,1.5163579639708589,36.77891456048816,55.77,0.1912564935853713,0.125,-0.0662564935853713,6.62564935853713e-05
UNIVERSAL_growth_tech,2025-07-31,002916,深南电路,GROWTH_TECH_CONSENSUS,CORE_ONLY,1.7436557628099976,81.0022270521929,141.24,0.21077096495690575,0.0625,-0.14827096495690575,0.00014827096495690576
UNIVERSAL_growth_tech,2025-08-29,600183,生益科技,GROWTH_TECH_CONSENSUS,CORE_ONLY,2.2643305799485076,22.98692622928921,52.05,0.07255690120373522,0.0625,-0.010056901203735216,1.0056901203735217e-05
UNIVERSAL_growth_tech,2025-08-29,002463,沪电股份,GROWTH_TECH_CONSENSUS,CORE_ONLY,1.7331076825945135,39.40320655538717,68.29,0.1424258290665347,0.0625,-0.0799258290665347,7.99258290665347e-05
UNIVERSAL_growth_tech,2025-08-29,002916,深南电路,GROWTH_TECH_CONSENSUS,CORE_ONLY,2.284435565979663,86.15257218498064,196.81,0.08103856549344962,0.0625,-0.01853856549344962,1.853856549344962e-05
