date,TRUE_BUYHOLD_growth_tech
2018-04-11,0.7944961758757157
2018-04-12,0.7932951718670986
2018-04-13,0.7922668099259251
2018-04-16,0.7840861764077806
2018-04-17,0.7798345800016121
2018-04-18,0.8234128403922781
2018-04-19,0.7877419262718165
2018-04-20,0.7857031899923045
2018-04-23,0.764233909484082
2018-04-24,0.7974841962463383
2018-04-25,0.7959749410049805
2018-04-26,0.7601715031213764
2018-04-27,0.7193307196627446
2018-05-02,0.6968763267868167
2018-05-03,0.7005954545845825
2018-05-04,0.683357890120343
2018-05-07,0.7045684439483942
2018-05-08,0.7165796125745287
2018-05-09,0.7123069576979179
2018-05-10,0.7055941935695231
2018-05-11,0.6883081664560249
2018-05-14,0.7041175032197299
2018-05-15,0.7225700523943527
2018-05-16,0.7158413550702029
2018-05-17,0.715245494803182
2018-05-18,0.7108721635334775
2018-05-21,0.7412042954795399
2018-05-22,0.7475940475897628
2018-05-23,0.7357382833489576
2018-05-24,0.7193887060120826
2018-05-25,0.6940256373966799
2018-05-28,0.7002550946500391
2018-05-29,0.6897771699548104
2018-05-30,0.6403644239470528
2018-05-31,0.6559670380633724
2018-06-01,0.6392044355921787
2018-06-04,0.64658401759119
2018-06-05,0.6694282794987635
2018-06-06,0.6791371334576127
2018-06-07,0.6676221828935068
2018-06-08,0.6687128264765635
2018-06-11,0.6624143658301722
2018-06-12,0.6744609957881901
2018-06-13,0.6612340144160778
2018-06-14,0.6622894667041874
2018-06-15,0.6379483115516834
2018-06-19,0.5538662532835262
2018-06-20,0.5754296831331613
2018-06-21,0.549154185765523
2018-06-22,0.558615372714987
2018-06-25,0.5563450578233945
2018-06-26,0.5624930362598817
2018-06-27,0.5551377401471602
2018-06-28,0.5497546539032953
2018-06-29,0.5912726681180257
2018-07-02,0.5812910043515266
2018-07-03,0.6194443026537612
2018-07-04,0.6044183544569843
2018-07-05,0.5908860668141733
2018-07-06,0.6100674825688889
2018-07-09,0.6289843716241262
2018-07-10,0.656792202375222
2018-07-11,0.6299509657973322
2018-07-12,0.6673052466652277
2018-07-13,0.666997417051019
2018-07-16,0.6905427601604324
2018-07-17,0.7005158926307952
2018-07-18,0.7098747174941753
2018-07-19,0.7102445471277047
2018-07-20,0.7165435221177215
2018-07-23,0.7321078281159537
2018-07-24,0.7322098795060119
2018-07-25,0.7618426785053749
2018-07-26,0.740969862695398
2018-07-27,0.7525139486928062
2018-07-30,0.7323418642020236
2018-07-31,0.7244932579889806
2018-08-01,0.7290639367131434
2018-08-02,0.7131929947687496
2018-08-03,0.6795778837984685
2018-08-06,0.6761280512620261
2018-08-07,0.7069111656210846
2018-08-08,0.701304162018616
2018-08-09,0.7527741791386067
2018-08-10,0.7703232807965091
2018-08-13,0.7931988701755676
2018-08-14,0.7784113888065913
2018-08-15,0.7711286016852252
2018-08-16,0.7777281087149411
2018-08-17,0.7849420234696569
2018-08-20,0.8020603351238335
2018-08-21,0.8149299395090418
2018-08-22,0.7982838719161935
2018-08-23,0.8343254272177464
2018-08-24,0.8841068814609496
2018-08-27,0.9699858063268291
2018-08-28,0.9610098694184811
2018-08-29,0.9553552840995959
2018-08-30,0.94579681736784
2018-08-31,0.9257452412220024
2018-09-03,0.9893436606294326
2018-09-04,0.9849137425124503
2018-09-05,0.9516681351454878
2018-09-06,0.9600551067285373
2018-09-07,0.9335822799639422
2018-09-10,0.9043053613173284
2018-09-11,0.9361669632684172
2018-09-12,0.9381786324651338
2018-09-13,0.9601176134657602
2018-09-14,0.9098105251257949
2018-09-17,0.8903556244389049
2018-09-18,0.9554915202648155
2018-09-19,0.9829067740473783
