date,TRUE_BUYHOLD_combined
2018-08-17,0.7240682488778103
2018-08-20,0.7379412730202018
2018-08-21,0.7484451384092946
2018-08-22,0.7377966503948278
2018-08-23,0.7480408161630242
2018-08-24,0.7658972437795974
2018-08-27,0.8015226864934796
2018-08-28,0.8048059310045725
2018-08-29,0.7966892100702323
2018-08-30,0.7896375211957349
2018-08-31,0.777315325825379
2018-09-03,0.7960835922875291
2018-09-04,0.7990807455347924
2018-09-05,0.7783076264201325
2018-09-06,0.7843965207378679
2018-09-07,0.7758682617133008
2018-10-29,0.7689483613478066
2018-10-30,0.767387387312959
2018-10-31,0.7802817568220566
2018-11-01,0.7911959554919968
2018-11-02,0.8147286859987382
2018-11-05,0.8125375895367356
2018-11-06,0.8213667336148329
2018-11-07,0.8192648614855415
2018-11-08,0.8012854381963533
2018-11-09,0.7940903839487543
2018-11-12,0.8086924506077965
2018-11-13,0.8123005930138144
2018-11-14,0.8013053954846053
2018-11-15,0.8175193670782347
2018-11-16,0.8273705948698867
2018-11-19,0.8220201165297009
2018-11-20,0.7946530945377103
