date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,deduct_factor_round6,cash_conversion,normalized_owner_eps_round5,assumed_growth_round5,neutral_value_round5,quality_factor_round5,ratio_expectation,ratio_round5,market_implied_growth_round6,implied_growth_status,expectation_gap_round6,ret,code,confidence_report_date,normalized_earnings_observation_count,realistic_growth_four_report_range,valuation_confidence
2022-06-27,23.54,11.1800298,1.62256552,8.60841062,1.04365517,1.4209624459457888,16.56623654422608,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6743584799894371,0.6968517803185571,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.03883495145631066,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-06-28,23.85,11.32486671,1.6435858,8.612306315,1.04365517,1.4390453861591326,16.57348700005673,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6832391566587968,0.7060286729225823,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.013169073916737606,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-06-29,23.94,11.36969718,1.65009208,8.61444921,1.04365517,1.444562268439253,16.57249432789455,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6858174176273205,0.7086929320656864,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.0037735849056603765,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-06-30,24.18,11.4834976,1.79117791,8.614960405,1.04365517,1.5125205954469574,15.986559173334555,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6926927802100505,0.7157976231139639,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.010025062656641603,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-01,24.05,11.42142464,1.78149587,8.6161216,1.04365517,1.5042434358923489,15.988103671353588,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6889686254777384,0.711949248796147,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,-0.005376344086021501,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-04,24.25,11.51798258,1.79655682,8.618325044999999,1.04365517,1.516766534780225,15.987958228201384,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6946980942966802,0.7178698246697115,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.008316008316008316,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-05,24.98,11.86283236,1.85034595,8.620749575,1.04365517,1.5619590163928714,15.992737157526618,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.7156106554858173,0.7394799266082225,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.030103092783505092,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-06,23.49,11.15589032,1.74007824,8.62162066,1.04365517,1.4688029505508617,15.992614932581855,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6729261127847016,0.6953716363501659,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,-0.05964771817453973,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-07,24.11,11.44901263,1.785799,8.624300415,1.04365517,1.507161711014653,15.996956281332706,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6906874661234209,0.7137254215582163,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.026394210302256305,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-08,24.29,11.53522507,1.79924628,8.629024295,1.04365517,1.5180951150083324,16.00031497358891,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6958439880604684,0.7190539398444245,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.0074657818332641845,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-11,22.79,10.00064356,1.55988467,8.631193595,1.04365517,1.315970870013217,17.318012517838717,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6528729719184058,0.6746496207926898,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,-0.061753808151502665,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-12,23.36,10.2523839,1.59915073,8.631455585000001,1.04365517,1.3490765577447934,17.315548080570117,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6692019580523896,0.6915232620323489,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.02501096972356298,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-13,23.08,10.12823798,1.57978664,8.632345785,1.04365517,1.3326718933052326,17.318591407190276,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6611807017058712,0.6832344558093584,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,-0.011986301369863117,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-14,23.24,10.19720793,1.59054447,8.63448868,1.04365517,1.3415804436405319,17.322852394102885,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6657642767610246,0.6879709165082101,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.006932409012131657,601088,2022-03-31,4.0,0.02863314744733625,HIGH
2022-07-15,23.38,10.25928089,1.60022651,8.636692125,1.04365517,1.3495747900436668,17.323975056798087,2022-03-31,2022-04-28,2.422242033383915,0.02863314744733625,0.10882326624862881,0.02863314744733625,34.907249924949,0.9909320337655556,1.795700983378296,2.422242033383915,0.014316573723668125,33.78049775411205,0.9909320337655556,0.6697749049342837,0.6921153196197054,0.0,BELOW_ZERO_GROWTH_VALUE,0.02863314744733625,0.006024096385542244,601088,2022-03-31,4.0,0.02863314744733625,HIGH
