code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,deduct_factor_round6,clean_eps_round6,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,quality_factor_round5,quality_adjusted_eps_round5,normalized_owner_eps_round5,historical_growth_round5,assumed_growth_round5,neutral_value_round5
600276,恒瑞医药,2010-09-30,2010-10-30,2010-10-30,2010-10-30,563258746.38,560691103.56,0.5034,2814027697.42,,270455382.52,756199361.46,723689415.0699999,0.7609999999999998,3631518264.35,,329070790.16999996,0.43516406775940725,0.9570087624416491,,0.8199499999999997,639928154.3,329711877.03499997,0.9570087624416491,0.7282836682180948,0.7535533720251397,0.18700507418462942,0.26948451228617354,0.18700507418462942,20.425561855072978,0.43516406775940725,0.33115985556490884,0.37549686104306734,-0.05889154726064272,0.0,4.920738649247778
600276,恒瑞医药,2010-12-31,2011-03-02,2011-03-02,2011-03-02,724173302.17,711628101.37,0.6465,3744106269.5,,385945810.53,724173302.17,711628101.37,0.6465,3744106269.5,,385945810.53,0.532946753730779,0.982676521265824,,0.7507999999999999,690145553.815,329711877.03499997,0.982676521265824,0.6353003709983552,0.7263024685065248,0.1572006851304053,0.23640760811246597,0.1572006851304053,17.53007784556248,0.532946753730779,0.3445500762869486,0.35120050263162084,-0.04736889884807116,0.0,4.602344430081538
600276,恒瑞医药,2011-03-31,2011-04-25,2011-04-25,2011-04-25,254364616.51,253010996.54,0.2263,1119205671.74,,68128754.47,775214769.7099999,761706340.0899999,0.5998,3920835802.1299996,,273293891.4,0.352539582678793,0.9825745971983307,,0.69355,717658758.22,329711877.03499997,0.9825745971983307,0.5893482433995588,0.679810819896655,0.13209676082867228,0.21679844094200962,0.13209676082867228,14.864907170008218,0.352539582678793,0.21145324169074003,0.33785496592592873,-0.05964163110524556,0.0,4.427456421483453
600276,恒瑞医药,2011-06-30,2011-08-06,2011-08-06,2011-08-06,467620270.13,462813266.96,0.3782,2166721111.87,,279197467.09,800651747.98,785133079.28,0.6745999999999999,4041421851.5299997,,383839207.0099999,0.4794084419079892,0.980617454793357,,0.66055,742697877.5799999,356454998.5899999,0.980617454793357,0.6615245350035985,0.6484124530009769,0.05622100618293158,0.2107478531408673,0.05622100618293158,10.459379493759354,0.4794084419079892,0.32340893491112943,0.3272843952380191,-0.06955957097900212,0.0,4.2889332509192215
600276,恒瑞医药,2011-09-30,2011-10-28,2011-10-28,2011-10-28,671694692.45,670445076.59,0.5432,3319215604.1,,432789433.69,832609248.2399999,821382074.4000001,0.6863,4249294176.1800003,,548279861.7,0.6585080130433024,0.9865156748333841,,0.66055,773419709.685,384892508.7699999,0.9865156748333841,0.6770457076381515,0.6484124530009769,-0.007459217838978849,0.21317148910735328,0.0,8.302821663925766,0.6585080130433024,0.45193404935161846,0.333979505599039,0.2653190029756902,0.1326595014878451,6.248189543317702
600276,恒瑞医药,2011-12-31,2012-03-20,2012-03-20,2012-03-20,876611061.8,848769374.36,0.7089,4550391768.99,,527357720.75,876611061.8,848769374.36,0.7089,4550391768.99,,527357720.75,0.6015868881087852,0.9682394066727484,,0.68045,803257576.84,455598463.87999994,0.9682394066727484,0.6863849153903113,0.669285121320875,-0.00596600986156004,0.2391550601666208,0.0,8.570092969262841,0.6015868881087852,0.42646494498031784,0.37493693994572364,0.31509654900468975,0.15,7.277189719312088
600276,恒瑞医药,2012-03-31,2012-04-27,2012-04-27,2012-04-27,301944223.33,301001377.2,0.24,1339998690.81,,104802471.05,924190668.6199999,896759755.02,0.7225999999999999,4771184788.059999,,564031437.3299999,0.6102976977382933,0.9703189887851176,,0.6976,835075724.3800001,537818791.225,0.9703189887851176,0.7011525012961258,0.6817153115142314,0.0001541879332782603,0.23941081063745262,0.0001541879332782603,8.734844426554858,0.6102976977382933,0.44100111638569073,0.4337330306830043,0.3801693501054262,0.15,8.418369105667082
600276,恒瑞医药,2012-06-30,2012-08-10,2012-08-10,2012-08-10,557212128.41,539891447.36,0.4096,2610756328.38,,356178777.38,966202920.08,925847554.76,0.7403000000000001,4994426985.5,,604339031.04,0.625478373621518,0.9582330331638217,,0.7157499999999999,872764564.69,556155649.515,0.9582330331638217,0.7093799144511773,0.6937687083432186,0.006013013720163052,0.2391973015757105,0.006013013720163052,9.107730370196123,0.625478373621518,0.46304163999200987,0.4464675828686546,0.3311691782293156,0.15,8.665535341831681
600276,恒瑞医药,2012-09-30,2012-10-27,2012-10-27,2012-10-27,804284413.03,782259766.2,0.5913,4039598528.95,,677842201.46,1009200782.3799999,960584063.9699999,0.757,5270774693.839998,,772410488.52,0.7653684995154513,0.9518265153388535,,0.7314499999999999,911303654.89,584185234.185,0.9518265153388535,0.7205326721115122,0.7052662078736516,-0.06863483719918395,0.23222204323116857,0.0,9.030825244744804,0.7653684995154513,0.5793839541331967,0.4520213781888503,-0.04390475388780213,0.0,5.92356234286872
600276,恒瑞医药,2012-12-31,2013-04-02,2013-04-02,2013-04-02,1077384764.0,1042844635.19,0.7921,5435067561.2,,958368891.73,1077384764.0,1042844635.19,0.7921,5435067561.2,,958368891.73,0.8895326198709823,0.9679407673431699,,0.74865,943215809.365,688374759.78,0.9679407673431699,0.766705881812525,0.7149562932813447,-0.0643896631977312,0.21511613652873018,0.0,9.154905296995379,0.8895326198709823,0.7045987881998051,0.5212127970626033,-0.0394021044068531,0.0,6.830288668363403
