date,close,pe_ttm,pb,pe_anchor,pb_anchor,ratio_universal,neutral_universal,report_date,fund_available_date,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,deduct_factor_round6,cash_conversion,normalized_owner_eps_round5,assumed_growth_round5,neutral_value_round5,quality_factor_round5,ratio_expectation,ratio_round5,market_implied_growth_round6,implied_growth_status,expectation_gap_round6,ret,code
2020-02-25,26.11,89.22659688,5.52026727,25.95571098,2.23911072,2.911206201830379,8.968791006141617,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,8.211119045737316,8.02329430398846,0.5634130878943375,SOLVED,-0.5634130878943375,0.05751316322397715,002241
2020-02-26,23.63,81.15061292,5.02062264,26.012489095,2.240302965,2.6441151213582543,8.936827224020986,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,7.431204253189306,7.261219624789249,0.5337485110128508,SOLVED,-0.5337485110128508,-0.09498276522405213,002241
2020-02-27,22.84,59.92560971,4.86146165,26.06926721,2.24149521,2.2328335206296805,10.229154923094715,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,7.182763653950223,7.018461964883049,0.5237178408622574,SOLVED,-0.5237178408622574,-0.03343207786711799,002241
2020-02-28,20.98,55.3063957,4.48672818,26.14226765,2.24213709,2.0575473964138853,10.196605938004733,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,6.5978275595392155,6.4469059554836425,0.49882812795998777,SOLVED,-0.49882812795998777,-0.08143607705779332,002241
2020-03-02,21.61,56.87096819,4.61365403,26.21526809,2.24277897,2.1125034840015378,10.22956892788929,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,6.795951075388105,6.640497507054409,0.5074703738082091,SOLVED,-0.5074703738082091,0.030028598665395645,002241
2020-03-03,21.69,57.06964406,4.6297716,26.239601565,2.24593485,2.117411025043519,10.243641760368282,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,6.821109617083202,6.665080561222126,0.5085517530094108,SOLVED,-0.5085517530094108,0.003701989819528073,002241
2020-03-04,20.88,55.05805086,4.46658121,26.26393504,2.24909073,2.040396867267795,10.233303302391109,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,6.566379382420344,6.416177137773996,0.49743521463107054,SOLVED,-0.49743521463107054,-0.03734439834024905,002241
2020-03-05,20.94,55.20705776,4.47866939,26.28015736,2.2501426899999997,2.0448092122774266,10.240564192626005,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,6.585248288691667,6.434614428399784,0.49827167126511607,SOLVED,-0.49827167126511607,0.00287356321839094,002241
2020-03-06,20.85,54.98354741,4.46053713,26.29637968,2.25119465,2.035426631984814,10.24355271389392,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,6.556944929284683,6.406958492461103,0.4970161859592387,SOLVED,-0.4970161859592387,-0.004297994269340966,002241
2020-03-09,19.05,50.5133403,4.09789183,26.29637968,2.251266255,1.8699150523309296,10.187628564331495,2019-09-30,2019-10-24,0.24833055572350377,-0.2800018581747902,0.23651899170345003,0.0,3.179834545640235,1.0,4.8286026698557505,0.24833055572350377,0.0,3.2542742433143026,1.0,5.990877741144998,5.853839773687483,0.470838355235764,SOLVED,-0.470838355235764,-0.08633093525179858,002241
