date,nav,cash_weight,turnover,w_002179,w_002138,w_002241,w_002815,w_603019,w_600570
2025-03-27,1.1573326013150735,0.8449050384614955,0.0,0.034798877884853134,0.039157544334990434,0.03910150960014987,0.04203702971851108,0.0,0.0
2025-03-28,1.1564433318593355,0.8455547445240441,0.0,0.03512018234458055,0.038926220787634705,0.039086821559296235,0.04131203078444433,0.0,0.0
2025-03-31,1.1534524220507927,0.8477472736051834,0.0,0.03443823461330641,0.038902998232259914,0.038365521441250466,0.040545972107999755,0.0,0.0
2025-04-01,1.154003522199569,0.8473424276583373,0.0,0.03501212430475351,0.03898094152075754,0.03813789733974706,0.04052660917640453,0.0,0.0
2025-04-02,1.1536308246435374,0.847616174202868,0.0,0.03436343521895195,0.03911767419690794,0.0381352633481566,0.040767453033115554,0.0,0.0
2025-04-03,1.1455984225839193,0.853559263656567,0.0,0.034683081540331,0.03736401377171216,0.03448708571864192,0.039906555312747886,0.0,0.0
2025-04-07,1.1312540351210945,0.8643824602333312,0.0,0.033821034784606074,0.03405401308497946,0.031355692021916015,0.03638679987516719,0.0,0.0
2025-04-08,1.1259712289483719,0.8684379501775801,0.0,0.03551009288871369,0.03315388026989012,0.028285106893075576,0.03461296977074048,0.0,0.0
2025-04-09,1.12834826089721,0.8666084576133658,0.0,0.03683813583911634,0.03397248273291123,0.028118489462601762,0.034462434352004884,0.0,0.0
2025-04-10,1.1332353761638259,0.8628711798046571,0.0,0.03652014099789495,0.0345842163104288,0.03078324855262838,0.03524121433439071,0.0,0.0
2025-04-11,1.136233269970521,0.8605945379967832,0.0,0.036935181094537,0.03571135501770293,0.03126383615733445,0.03549508973364245,0.0,0.0
2025-04-14,1.1379984955963944,0.859259612214511,0.0,0.03671062184099597,0.03618730447373893,0.0315943516652548,0.03624810980549932,0.0,0.0
2025-04-15,1.1379859489381916,0.8592690858259138,0.0,0.03623563199841513,0.03733429992749152,0.03091247279570343,0.0362485094524762,0.0,0.0
2025-04-16,1.1352560089327952,0.8613353625373682,0.0,0.0363315922731347,0.036961532609064256,0.029923013460978823,0.035448499119454045,0.0,0.0
