code,name,report_date,profit_notice_date,cash_notice_date,available_date,p_PARENT_NETPROFIT,p_DEDUCT_PARENT_NETPROFIT,p_BASIC_EPS,p_TOTAL_OPERATE_INCOME,p_RESEARCH_EXPENSE,c_NETCASH_OPERATE,ttm_parent_netprofit,ttm_deduct_netprofit,ttm_basic_eps_approx,ttm_revenue,ttm_research_expense,ttm_operating_cashflow,cash_conversion,deduct_quality,rd_intensity,normalized_eps_4q_median,normalized_deduct_np_4q_median,normalized_cfo_4q_median,deduct_factor_round6,clean_eps_round6,normalized_eps_round6,eps_growth_3y_round6,revenue_growth_3y_round6,realistic_growth_round6,neutral_value_round6,quality_factor_round5,quality_adjusted_eps_round5,normalized_owner_eps_round5,historical_growth_round5,assumed_growth_round5,neutral_value_round5
600188,兖矿能源,2012-12-31,2013-03-23,2013-03-23,2013-03-23,5362446000,3439050000.0,1.0903,59673546000,,8116637000.0,5362446000.0,3439050000.0,1.0903,59673546000.0,,8116637000.0,1.513607223270873,0.6413211433737515,,1.5617,5646511975.0,10888610331.5,0.6413211433737515,0.6992324426204013,1.1486993415042663,0.11141896579382182,0.40522234947807556,0.11141896579382182,23.138972111275862,0.6413211433737515,0.6992324426204013,1.1486993415042663,0.11141896579382182,0.05570948289691091,18.16383352856143
600188,兖矿能源,2013-03-31,2013-04-26,2013-04-26,2013-04-26,480623000,461306000.0,0.0977,10771369000,,-1993219000.0,3708112030.0,1776892236.0,0.7539,55789727780.0,,1757343834.0,0.4739187542831601,0.47919054808060907,,1.27435,4207567651.0,8379186551.0,0.47919054808060907,0.3612617541979712,0.8561406682476204,0.007705808473812192,0.3227604671485822,0.007705808473812192,11.318342878683424,0.4739187542831601,0.3572873488540744,0.8561406682476204,0.007705808473812192,0.003852904236906096,11.409498640000685
600188,兖矿能源,2013-06-30,2013-08-20,2013-08-20,2013-08-20,-2396915000,-2323181000.0,-0.4873,26188026000,,810012000.0,-1907948000.0,-1745664000.0,-0.3879,56653362000.0,,1205558000.0,-0.6318610360450075,0.914943174551927,,0.9221,2607971118.0,4936990417.0,,,0.6992324426204013,-0.06797050178824271,0.27331175044237654,0.0,8.953563809329939,,,0.6992324426204013,-0.06797050178824271,0.0,9.163166093192732
600188,兖矿能源,2013-09-30,2013-10-26,2013-10-26,2013-10-26,-588646000,-523118000.0,-0.1197,41455306000,,541409000.0,32171000.0,330651000.0,0.006500000000000061,59017648000.0,,2383715000.0,74.09514780392279,10.27792110907339,,0.38020000000000004,1053771618.0,2070529417.0,1.0,0.006500000000000061,0.3612617541979712,-0.288309167323492,0.23782940092679294,0.0,4.625901160936248,1.0,0.006500000000000061,0.3572873488540744,-0.2548383099546425,0.0,4.682110155354592
600188,兖矿能源,2013-12-31,2014-03-24,2014-03-24,2014-03-24,1271211000,1192620000.0,0.2585,58726589000,,2956504000.0,1271211000.0,1192620000.0,0.2585,58726589000.0,,2956504000.0,2.325738213404384,0.9381762744343779,,0.13250000000000003,761635500.0,2070529417.0,0.9381762744343779,0.2425185669412867,0.2425185669412867,-0.42209721409208845,0.19000853601495793,0.0,3.105412923803473,0.9381762744343779,0.2425185669412867,0.2425185669412867,-0.37682187469479633,0.0,3.178110416670836
600188,兖矿能源,2014-03-31,2014-04-28,2014-04-28,2014-04-28,264830000,16375000.0,0.0538,15102662000,,-747074000.0,1055418000.0,747689000.0,0.2146,63057882000.0,,4202649000.0,3.9819758616965033,0.7084292668876218,,0.11055000000000004,539170000.0,2670109500.0,0.7084292668876218,0.15202892067408363,0.15202892067408363,-0.5472346540710691,0.19279763732036037,0.0,1.946706930556331,0.7084292668876218,0.15202892067408363,0.15202892067408363,-0.48424325705995264,0.0,1.9922791995818725
600188,兖矿能源,2014-06-30,2014-08-25,2014-08-25,2014-08-25,835552000,368601000.0,0.1699,32428612000,,-245116000.0,4503678000.0,3884402000.0,0.9157,64967175000.0,,1901376000.0,0.42218293581379485,0.8624954981239777,,0.23655,970154500.0,2670109500.0,0.8624954981239777,0.7897871276321263,0.19727374380768517,-0.5271688149085423,0.17026458119334098,0.0,2.5260599271799022,0.42218293581379485,0.38659291432469195,0.19727374380768517,-0.5013191031928332,0.0,2.5851948081263543
600188,兖矿能源,2014-09-30,2014-10-27,2014-10-27,2014-10-27,1941020000,1324192000.0,0.3946,49067190000,,2902539000.0,3800877000.0,3039930000.0,0.7728,66338473000.0,,5317634000.0,1.399054481373641,0.7997969942200182,,0.51565,2116275000.0,3579576500.0,0.7997969942200182,0.61808311713323,0.4303008420372584,-0.38682939189150833,0.15296570124520836,0.0,5.509936054955848,0.7997969942200182,0.61808311713323,0.3145557406329893,-0.4455498516914953,0.0,4.122129239578333
600188,兖矿能源,2014-12-31,2015-03-30,2015-03-30,2015-03-30,2163812000,1315992000.0,0.4399,65326133000,,5895459000.0,2163812000.0,1315992000.0,0.4399,65326133000.0,,5895459000.0,2.7245708037482,0.6081822265520295,,0.6063500000000001,2177961000.0,4760141500.0,0.6081822265520295,0.26753936146023777,0.44281123929673394,-0.3786186447099109,0.0946603695455388,0.0,5.670129766396079,0.6081822265520295,0.26753936146023777,0.32706613789246486,-0.43829640273971704,0.0,4.286073074264834
600188,兖矿能源,2015-03-31,2015-04-29,2015-04-29,2015-04-29,177811000,126143000.0,0.0362,8644755000,,-3630609000.0,2076793000.0,1425760000.0,0.4223,58868226000.0,,3011924000.0,1.4502764599071742,0.6865200335324705,,0.6063500000000001,2232845000.0,4164779000.0,0.6865200335324705,0.2899174101607623,0.4540002636469962,-0.36327797278807183,0.022221208879659615,0.0,5.813403501105506,0.6865200335324705,0.2899174101607623,0.3382551622427271,-0.422812651581434,0.0,4.432700836783987
