strategy,date,code,name,action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
v31_1_confidence_gate_only,2019-01-31,002444,巨星科技,BUY_A_LEVEL,MEDIUM,0,0.7472122071153431,9.274473749236076,6.93,0.07129699068195947,0.09375,0.022453009318040534,2.2453009318040534e-05
v31_1_confidence_gate_only,2019-02-28,000895,双汇发展,BUY_FULL_MARGIN,HIGH,0,0.6369668621112023,20.519120816866334,13.07,0.08853367251935111,0.125,0.03646632748064889,3.646632748064889e-05
v31_1_confidence_gate_only,2019-04-30,002444,巨星科技,BUY_A_LEVEL,MEDIUM,0,0.700288410220128,14.037073663563913,9.83,0.07184118384052823,0.09375,0.021908816159471767,2.1908816159471767e-05
v31_1_confidence_gate_only,2019-05-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,0,0.5471225829593676,14.037073663563913,7.68,0.07812735399990717,0.125,0.04687264600009283,4.6872646000092836e-05
v31_1_confidence_gate_only,2019-06-28,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,0,0.5841673411805747,14.037073663563913,8.2,0.10098755192482815,0.125,0.024012448075171847,2.401244807517185e-05
v31_1_confidence_gate_only,2019-06-28,000895,双汇发展,BUY_A_LEVEL,MEDIUM,0,0.6583490030030407,21.812139054661372,14.36,0.086372067750571,0.09375,0.007377932249428995,7.377932249428996e-06
v31_1_confidence_gate_only,2019-07-31,000895,双汇发展,BUY_FULL_MARGIN,MEDIUM,0,0.618004495855222,21.812139054661372,13.48,0.08815880061966316,0.125,0.036841199380336836,3.6841199380336834e-05
v31_1_confidence_gate_only,2019-08-30,002444,巨星科技,BUY_FULL_MARGIN,HIGH,0,0.5876848492567575,15.1101394075932,8.88,0.11765452892696374,0.11988089473373509,0.002226365806771352,2.226365806771352e-06
v31_1_confidence_gate_only,2019-08-30,000895,双汇发展,BUY_FULL_MARGIN,HIGH,0,0.5466562672279132,21.640655580498102,11.83,0.09516170801476186,0.10420550552589061,0.009043797511128757,9.043797511128757e-06
v31_1_confidence_gate_only,2019-08-30,600580,卧龙电驱,BUY_FULL_MARGIN,MEDIUM,0,0.6370131333950315,10.09398340930682,6.43,0.0,0.03788670911359047,0.03788670911359047,3.788670911359047e-05
v31_1_confidence_gate_only,2020-03-31,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,0,0.43980119996541134,17.64433566941221,7.76,0.07684011989028505,0.11771715246690789,0.04087703257662284,4.087703257662284e-05
