variant,date,code,name,action,underlying_v31_action,valuation_confidence,sell_confirmation_count,price_to_neutral,neutral_value,normalized_earnings,realistic_growth,market_implied_growth,expectation_gap
current_v31_baseline,2023-06-30,600580,卧龙电驱,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.835130697709336,6.359220089646387,0.4966260464699743,0.0,0.15037317805197054,-0.15037317805197054
current_v31_baseline,2023-06-30,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.6315168002918228,266.15285598471894,6.400264965338801,0.3,0.1788439099262919,0.12115609007370809
current_v31_baseline,2023-07-31,601766,中国中车,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.768363322739881,3.3646931733356364,0.26276717029793933,0.0,0.14094919036357745,-0.14094919036357745
current_v31_baseline,2023-07-31,002444,巨星科技,BUY_A_LEVEL,BUY_A_LEVEL,HIGH,0,0.7226060117162749,28.452572586778736,1.1993291299683644,0.15280368132886313,0.07123039642641504,0.08157328490244808
current_v31_baseline,2023-07-31,002415,海康威视,REDUCE_50,REDUCE_50,MEDIUM,0,1.5530283396567568,21.1264657329122,1.4211536771936237,0.03620641627603405,0.1458745408442465,-0.10966812456821246
current_v31_baseline,2023-07-31,600536,中国软件,CORE_ONLY,CORE_ONLY,LOW,0,6.25968321984922,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7866755047585343,-0.5374787495216424
current_v31_baseline,2023-07-31,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.0838201698739642,19.311321731938165,1.5081260325392258,0.0,0.019470854944038066,-0.019470854944038066
current_v31_baseline,2023-07-31,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.14591344664962647,76.96343454188941,4.347023760872724,0.07921879820920737,0.0,0.07921879820920737
current_v31_baseline,2023-07-31,600580,卧龙电驱,REDUCE_50,REDUCE_50,MEDIUM,0,1.6354206731942669,6.359220089646387,0.4966260464699743,0.0,0.12118540704855463,-0.12118540704855463
current_v31_baseline,2023-07-31,600809,山西汾酒,BUY_STAGED,BUY_STAGED,MEDIUM,0,0.8333181290856935,266.15285598471894,6.400264965338801,0.3,0.2512525347510124,0.0487474652489876
current_v31_baseline,2023-08-31,601766,中国中车,REDUCE_25,REDUCE_25,MEDIUM,0,1.2171201492585149,4.461350839773727,0.2854393982277917,0.04847189707884736,0.09709309939521127,-0.04862120231636391
current_v31_baseline,2023-08-31,002444,巨星科技,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.5386939142167655,33.562658724829724,1.2912,0.17620346156972944,0.021636518551258033,0.1545669430184714
current_v31_baseline,2023-08-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.935765294314817,16.463772800142436,1.2857454657099774,0.0,0.16400812084611072,-0.16400812084611072
current_v31_baseline,2023-08-31,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2023-08-31,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1641840030857158,19.369790291079703,1.5126921599825165,0.0,0.03688693329034087,-0.03688693329034087
current_v31_baseline,2023-08-31,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.1833328845706626,59.12741745915149,3.860041160090031,0.043531670368272504,0.0,0.043531670368272504
current_v31_baseline,2023-08-31,600580,卧龙电驱,HOLD,HOLD,HIGH,0,0.9958718923196468,9.830581699817355,0.5988153641535752,0.060546530890967176,0.059527677174995686,0.0010188537159714905
current_v31_baseline,2023-08-31,600809,山西汾酒,BUY_STAGED,BUY_STAGED,MEDIUM,0,0.7627030792726429,295.0820655065796,7.095935148898061,0.3,0.22790941364862716,0.07209058635137283
current_v31_baseline,2023-09-28,601766,中国中车,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1969468871161086,4.461350839773727,0.2854393982277917,0.04847189707884736,0.09292325811051505,-0.04445136103166769
current_v31_baseline,2023-09-28,002444,巨星科技,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.5383959640429731,33.562658724829724,1.2912,0.17620346156972944,0.021502127426369477,0.15470133414335996
current_v31_baseline,2023-09-28,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.8543744724013607,16.463772800142436,1.2857454657099774,0.0,0.1530318627608575,-0.1530318627608575
current_v31_baseline,2023-09-28,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2023-09-28,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1786395029023011,19.369790291079703,1.5126921599825165,0.0,0.03990264203135448,-0.03990264203135448
current_v31_baseline,2023-09-28,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.22257018089943909,59.12741745915149,3.860041160090031,0.043531670368272504,0.0,0.043531670368272504
current_v31_baseline,2023-09-28,600580,卧龙电驱,HOLD,HOLD,HIGH,0,0.9806133852871702,9.830581699817355,0.5988153641535752,0.060546530890967176,0.05572806813210096,0.0048184627588662154
current_v31_baseline,2023-09-28,600809,山西汾酒,BUY_STAGED,BUY_STAGED,MEDIUM,0,0.7540614154845631,295.0820655065796,7.095935148898061,0.3,0.22492069442344548,0.07507930557655451
current_v31_baseline,2023-10-31,601766,中国中车,HOLD,HOLD,MEDIUM,0,0.9837439132737813,4.960640603874181,0.2966009468629687,0.06513298859908474,0.061091696938395945,0.004041291660688798
current_v31_baseline,2023-10-31,002444,巨星科技,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.5687779274887862,32.33247830342813,1.3661999999999999,0.15218234774677564,0.012067117615757413,0.14011523013101823
current_v31_baseline,2023-10-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,2.000149078813521,16.463772800142436,1.2857454657099774,0.0,0.1723996556998208,-0.1723996556998208
current_v31_baseline,2023-10-31,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2023-10-31,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.163489776728046,19.467296106112848,1.5203069188279577,0.0,0.036741245659541885,-0.036741245659541885
current_v31_baseline,2023-10-31,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.35116072420994615,35.88100585094739,2.8021426885561516,0.0,0.0,0.0
current_v31_baseline,2023-10-31,600580,卧龙电驱,BUY_STAGED,BUY_STAGED,HIGH,0,0.7633050792238637,11.764627597042791,0.6242499495001463,0.09475636362899009,0.028195652700500118,0.06656071092848997
current_v31_baseline,2023-10-31,600809,山西汾酒,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.708470653796906,324.9393588375691,7.813923268015399,0.3,0.20862424819176562,0.09137575180823437
current_v31_baseline,2023-11-30,601766,中国中车,HOLD,HOLD,MEDIUM,0,0.959553489176885,4.960640603874181,0.2966009468629687,0.06513298859908474,0.054963937223401094,0.01016905137568365
current_v31_baseline,2023-11-30,002444,巨星科技,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.6306352333603236,32.33247830342813,1.3661999999999999,0.15218234774677564,0.03717205614936232,0.11501029159741331
current_v31_baseline,2023-11-30,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.9090399498059207,16.463772800142436,1.2857454657099774,0.0,0.16045068263109574,-0.16045068263109574
current_v31_baseline,2023-11-30,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2023-11-30,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1578392745011108,19.467296106112848,1.5203069188279577,0.0,0.035552494757514,-0.035552494757514
current_v31_baseline,2023-11-30,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.37317794421993483,35.88100585094739,2.8021426885561516,0.0,0.0,0.0
current_v31_baseline,2023-11-30,600580,卧龙电驱,BUY_STAGED,BUY_STAGED,HIGH,0,0.8415055995897829,11.764627597042791,0.6242499495001463,0.09475636362899009,0.05204579662732224,0.04271056700166785
current_v31_baseline,2023-11-30,600809,山西汾酒,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.6828043263017224,324.9393588375691,7.813923268015399,0.3,0.19903000604602816,0.10096999395397183
current_v31_baseline,2023-12-29,601766,中国中车,HOLD,HOLD,MEDIUM,0,0.9696328325505917,4.960640603874181,0.2966009468629687,0.06513298859908474,0.05753407256841554,0.0075989160306692005
current_v31_baseline,2023-12-29,002444,巨星科技,BUY_A_LEVEL,BUY_A_LEVEL,HIGH,0,0.6578524479438,32.33247830342813,1.3661999999999999,0.15218234774677564,0.04751241528389051,0.10466993246288513
current_v31_baseline,2023-12-29,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.9047881904522328,16.463772800142436,1.2857454657099774,0.0,0.15988058735770216,-0.15988058735770216
current_v31_baseline,2023-12-29,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2023-12-29,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1891738777595704,19.467296106112848,1.5203069188279577,0.0,0.042079149420961096,-0.042079149420961096
current_v31_baseline,2023-12-29,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.3572921019342468,35.88100585094739,2.8021426885561516,0.0,0.0,0.0
current_v31_baseline,2023-12-29,600580,卧龙电驱,BUY_STAGED,BUY_STAGED,HIGH,0,0.7981553111260667,11.764627597042791,0.6242499495001463,0.09475636362899009,0.039087374580059994,0.0556689890489301
current_v31_baseline,2023-12-29,600809,山西汾酒,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.6577842732398709,324.9393588375691,7.813923268015399,0.3,0.1893596428834209,0.1106403571165791
current_v31_baseline,2024-01-31,601766,中国中车,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.0482517108655047,4.960640603874181,0.2966009468629687,0.06513298859908474,0.07678597149280886,-0.011652982893724115
current_v31_baseline,2024-01-31,002444,巨星科技,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.5378492745530176,32.33247830342813,1.3661999999999999,0.15218234774677564,0.0,0.15218234774677564
current_v31_baseline,2024-01-31,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.75111745952608,16.463772800142436,1.2857454657099774,0.0,0.13846277113508293,-0.13846277113508293
current_v31_baseline,2024-01-31,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-01-31,000895,双汇发展,REDUCE_25,REDUCE_25,MEDIUM,0,1.278040867328644,19.467296106112848,1.5203069188279577,0.0,0.05977113606933966,-0.05977113606933966
current_v31_baseline,2024-01-31,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.4225076650018082,35.88100585094739,2.8021426885561516,0.0,0.0,0.0
current_v31_baseline,2024-01-31,600580,卧龙电驱,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.6417542703942283,11.764627597042791,0.6242499495001463,0.09475636362899009,0.0,0.09475636362899009
current_v31_baseline,2024-01-31,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.5635513058654681,324.9393588375691,7.813923268015399,0.3,0.1496842298364663,0.1503157701635337
current_v31_baseline,2024-02-29,601766,中国中车,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.17525143737421,4.960640603874181,0.2966009468629687,0.06513298859908474,0.1052751740345973,-0.040142185435512553
current_v31_baseline,2024-02-29,002444,巨星科技,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.6346559582419735,32.33247830342813,1.3661999999999999,0.15218234774677564,0.038724929372015895,0.11345741837475974
current_v31_baseline,2024-02-29,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.9175434685132968,16.463772800142436,1.2857454657099774,0.0,0.16158744367926653,-0.16158744367926653
current_v31_baseline,2024-02-29,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-02-29,000895,双汇发展,REDUCE_25,REDUCE_25,MEDIUM,0,1.3181080649378218,19.467296106112848,1.5203069188279577,0.0,0.06738399465766987,-0.06738399465766987
current_v31_baseline,2024-02-29,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.4874445290819014,35.88100585094739,2.8021426885561516,0.0,0.0,0.0
current_v31_baseline,2024-02-29,600580,卧龙电驱,BUY_A_LEVEL,BUY_A_LEVEL,HIGH,0,0.747154971756989,11.764627597042791,0.6242499495001463,0.09475636362899009,0.022993494191185085,0.07176286943780501
current_v31_baseline,2024-02-29,600809,山西汾酒,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.664954841952554,324.9393588375691,7.813923268015399,0.3,0.19216449605321484,0.10783550394678515
current_v31_baseline,2024-03-29,601766,中国中车,REDUCE_25,REDUCE_25,MEDIUM,0,1.257364383250371,4.962761855771024,0.3034802191837691,0.05958624492071625,0.11657766326118874,-0.056991418340472486
current_v31_baseline,2024-03-29,002444,巨星科技,BUY_A_LEVEL,BUY_A_LEVEL,HIGH,0,0.7416690973997332,32.33247830342813,1.3661999999999999,0.15218234774677564,0.07707362598296114,0.0751087217638145
current_v31_baseline,2024-03-29,002415,海康威视,CORE_ONLY,CORE_ONLY,MEDIUM,0,1.764480131780528,16.463772800142436,1.2857454657099774,0.0,0.14039125022734295,-0.14039125022734295
current_v31_baseline,2024-03-29,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-03-29,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1655445048105681,19.467296106112848,1.5203069188279577,0.0,0.03717221315720966,-0.03717221315720966
current_v31_baseline,2024-03-29,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.6254828704711637,25.38838511762587,1.9827169290385078,0.0,0.0,0.0
current_v31_baseline,2024-03-29,600580,卧龙电驱,HOLD_NO_ADD,HOLD_NO_ADD,HIGH,0,1.1653577545834266,11.764627597042791,0.6242499495001463,0.09475636362899009,0.1332065584494776,-0.038450194820487504
current_v31_baseline,2024-03-29,600809,山西汾酒,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.7019463595175547,324.9393588375691,7.813923268015399,0.3,0.2062154434069473,0.09378455659305268
current_v31_baseline,2024-04-30,601766,中国中车,REDUCE_25,REDUCE_25,MEDIUM,0,1.3175551507917171,4.849891859297318,0.3115028977729586,0.04752187438753237,0.11598967495026799,-0.06846780056273562
current_v31_baseline,2024-04-30,002444,巨星科技,HOLD,HOLD,MEDIUM,0,0.9806661137798448,24.585329972370786,1.41325,0.0748615361696201,0.07003110580662089,0.004830430362999211
current_v31_baseline,2024-04-30,002415,海康威视,REDUCE_50,REDUCE_50,HIGH,0,1.6203963302890525,18.45844713476026,1.3954734171172538,0.007837097721834718,0.12704583178357665,-0.11920873406174193
current_v31_baseline,2024-04-30,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-04-30,000895,双汇发展,REDUCE_25,REDUCE_25,MEDIUM,0,1.3006567349614018,18.513724146221097,1.4458373037195429,0.0,0.06409445302093575,-0.06409445302093575
current_v31_baseline,2024-04-30,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.6156022918121448,24.9349299119961,1.9473041484068405,0.0,0.0,0.0
current_v31_baseline,2024-04-30,600580,卧龙电驱,CORE_ONLY,CORE_ONLY,HIGH,0,1.731245556234981,6.486659249206909,0.4959316539777895,0.005125247036973146,0.1409562423163076,-0.13583099527933445
current_v31_baseline,2024-04-30,600809,山西汾酒,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.6896846432903191,355.6988000046477,8.553605631846043,0.3,0.20163333439338038,0.09836666560661961
current_v31_baseline,2024-05-31,601766,中国中车,REDUCE_25,REDUCE_25,MEDIUM,0,1.3134313475028543,4.849891859297318,0.3115028977729586,0.04752187438753237,0.11520154265579807,-0.0676796682682657
current_v31_baseline,2024-05-31,002444,巨星科技,HOLD,HOLD,MEDIUM,0,0.9826998469067214,24.585329972370786,1.41325,0.0748615361696201,0.07054327444376848,0.004318261725851619
current_v31_baseline,2024-05-31,002415,海康威视,REDUCE_50,REDUCE_50,HIGH,0,1.6393578386675605,18.45844713476026,1.3954734171172538,0.007837097721834718,0.1299849817321842,-0.12214788401034948
current_v31_baseline,2024-05-31,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-05-31,000895,双汇发展,REDUCE_25,REDUCE_25,MEDIUM,0,1.2142343605453618,18.513724146221097,1.4458373037195429,0.0,0.047187067626894286,-0.047187067626894286
current_v31_baseline,2024-05-31,600188,兖矿能源,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.680170349780715,24.9349299119961,1.9473041484068405,0.0,0.0,0.0
current_v31_baseline,2024-05-31,600580,卧龙电驱,REDUCE_50,REDUCE_50,HIGH,0,1.689621664856224,6.486659249206909,0.4959316539777895,0.005125247036973146,0.13478616045638525,-0.1296609134194121
current_v31_baseline,2024-05-31,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.6307302695344166,355.6988000046477,8.553605631846043,0.3,0.1785229988854254,0.1214770011145746
current_v31_baseline,2024-06-28,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,0,1.4165264297244284,4.849891859297318,0.3115028977729586,0.04752187438753237,0.13426487523313385,-0.08674300084560148
current_v31_baseline,2024-06-28,002444,巨星科技,HOLD,HOLD,MEDIUM,0,0.9578883027588282,24.585329972370786,1.41325,0.0748615361696201,0.06422784876149173,0.010633687408128367
current_v31_baseline,2024-06-28,002415,海康威视,REDUCE_50,REDUCE_50,HIGH,0,1.5537601722731536,18.45844713476026,1.3954734171172538,0.007837097721834718,0.11646379916228583,-0.10862670144045111
current_v31_baseline,2024-06-28,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-06-28,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1294324056496226,18.513724146221097,1.4458373037195429,0.0,0.029494852777717073,-0.029494852777717073
current_v31_baseline,2024-06-28,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.6043730643393499,24.9349299119961,1.9473041484068405,0.0,0.0,0.0
current_v31_baseline,2024-06-28,600580,卧龙电驱,REDUCE_50,REDUCE_50,HIGH,0,1.5015433408485055,6.486659249206909,0.4959316539777895,0.005125247036973146,0.10506821822976697,-0.09994297119279383
current_v31_baseline,2024-06-28,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.5450960194340452,355.6988000046477,8.553605631846043,0.3,0.14121824618311396,0.15878175381688603
current_v31_baseline,2024-07-31,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,0,1.4392073478131748,4.849891859297318,0.3115028977729586,0.04752187438753237,0.13828975876991917,-0.0907678843823868
current_v31_baseline,2024-07-31,002444,巨星科技,HOLD,HOLD,MEDIUM,0,0.9440589174960681,24.585329972370786,1.41325,0.0748615361696201,0.060642884661431654,0.014218651508188448
current_v31_baseline,2024-07-31,002415,海康威视,REDUCE_50,REDUCE_50,HIGH,0,1.46166141729183,18.45844713476026,1.3954734171172538,0.007837097721834718,0.10114037481489277,-0.09330327709305805
current_v31_baseline,2024-07-31,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-07-31,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.091622616842605,18.513724146221097,1.4458373037195429,0.0,0.02121255996270128,-0.02121255996270128
current_v31_baseline,2024-07-31,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.5506331900052605,24.9349299119961,1.9473041484068405,0.0,0.0,0.0
current_v31_baseline,2024-07-31,600580,卧龙电驱,REDUCE_50,REDUCE_50,HIGH,0,1.5169595969147118,6.486659249206909,0.4959316539777895,0.005125247036973146,0.10762743909534478,-0.10250219205837163
current_v31_baseline,2024-07-31,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.48273989116003874,355.6988000046477,8.553605631846043,0.3,0.11055712303145135,0.18944287696854864
current_v31_baseline,2024-08-30,601766,中国中车,REDUCE_25,REDUCE_25,MEDIUM,0,1.2688948834379654,5.28018521270013,0.3294075699267103,0.05467024959114637,0.11384970372415956,-0.05917945413301319
current_v31_baseline,2024-08-30,002444,巨星科技,HOLD,HOLD,HIGH,0,0.9567856321168006,26.745802968826432,1.46265,0.08723943088313679,0.0762719310250245,0.010967499858112295
current_v31_baseline,2024-08-30,002415,海康威视,REDUCE_25,REDUCE_25,HIGH,0,1.222408881505514,20.28781071146703,1.481701650365972,0.016199126349893067,0.06531804307268019,-0.04911891672278712
current_v31_baseline,2024-08-30,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-08-30,000895,双汇发展,HOLD_NO_ADD,HOLD_NO_ADD,MEDIUM,0,1.1835763360145484,17.20210127600062,1.3434055477314568,0.0,0.0409248405192415,-0.0409248405192415
current_v31_baseline,2024-08-30,600188,兖矿能源,BUY_FULL_MARGIN,BUY_FULL_MARGIN,MEDIUM,0,0.5185496829401324,24.9349299119961,1.9473041484068405,0.0,0.0,0.0
current_v31_baseline,2024-08-30,600580,卧龙电驱,REDUCE_25,REDUCE_25,HIGH,0,1.3643386618592683,6.486659249206909,0.4959316539777895,0.005125247036973146,0.08117790322285778,-0.07605265618588464
current_v31_baseline,2024-08-30,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.4662913421210998,352.16180350471376,9.1527,0.27911683376910496,0.0825093031441132,0.19660753062499176
current_v31_baseline,2024-09-30,601766,中国中车,REDUCE_50,REDUCE_50,MEDIUM,0,1.452600560592417,5.28018521270013,0.3294075699267103,0.05467024959114637,0.148039982091279,-0.09336973250013263
current_v31_baseline,2024-09-30,002444,巨星科技,HOLD_NO_ADD,HOLD_NO_ADD,HIGH,0,1.138496385226908,26.745802968826432,1.46265,0.08723943088313679,0.11970247887202967,-0.03246304798889288
current_v31_baseline,2024-09-30,002415,海康威视,REDUCE_50,REDUCE_50,HIGH,0,1.4767487939477904,20.28781071146703,1.481701650365972,0.016199126349893067,0.11236898849708787,-0.0961698621471948
current_v31_baseline,2024-09-30,600536,中国软件,CORE_ONLY,CORE_ONLY,INVALID,0,5.094335853848472,8.315117262635816,0.24182270535096306,0.24919675523689183,0.7205649941115511,-0.47136823887465923
current_v31_baseline,2024-09-30,000895,双汇发展,REDUCE_50,REDUCE_50,MEDIUM,0,1.4469162575344847,17.20210127600062,1.3434055477314568,0.0,0.09050792821391246,-0.09050792821391246
current_v31_baseline,2024-09-30,600188,兖矿能源,BUY_A_LEVEL,BUY_A_LEVEL,MEDIUM,0,0.6887390453868631,22.40326013654853,1.7495923010696037,0.0,0.0,0.0
current_v31_baseline,2024-09-30,600580,卧龙电驱,CORE_ONLY,CORE_ONLY,MEDIUM,0,2.229345649154016,4.620189787038456,0.36081572198037415,0.0,0.20041814777650296,-0.20041814777650296
current_v31_baseline,2024-09-30,600809,山西汾酒,BUY_FULL_MARGIN,BUY_FULL_MARGIN,HIGH,0,0.5857250784929009,352.16180350471376,9.1527,0.27911683376910496,0.1397460497092758,0.13937078405982917
current_v31_baseline,2024-10-31,601766,中国中车,REDUCE_25,REDUCE_25,MEDIUM,0,1.3014718418053932,6.000898174766515,0.3446224997396091,0.07509851556974652,0.14116050680629605,-0.06606199123654953
