,true_buyhold
2020-01-07,1.3905412369001413
2020-01-08,1.3338811313351786
2020-01-09,1.4070911395409587
2020-01-10,1.3980686250262646
2020-01-13,1.4008617519736424
2020-01-14,1.380553251132288
2020-01-15,1.3956409823578133
2020-01-16,1.4027580443032537
2020-01-17,1.359466473179073
2020-01-20,1.3704344658721062
2020-01-21,1.33758969449947
2020-01-22,1.3620730151135945
2020-01-23,1.249555454487791
2020-02-03,1.0007266946723476
2020-02-04,1.016462007807449
2020-02-05,1.0544695731671119
2020-02-06,1.1283564076264834
2020-02-07,1.184348233455381
2020-02-10,1.2162008228030596
2020-02-11,1.2159073557828046
2020-02-12,1.2399433525807757
2020-02-13,1.2098703854241024
2020-02-14,1.2230315192476566
2020-02-17,1.2758005703556254
2020-02-18,1.2963217981671438
2020-02-19,1.3455213395325747
2020-02-20,1.3987686248521978
2020-02-21,1.4507708322053319
2020-02-24,1.482852862935942
2020-02-25,1.465616705116861
2020-02-26,1.4523733530072442
2020-02-27,1.4637498685241115
2020-02-28,1.2963859925484964
2020-03-02,1.3763048835367782
2020-03-03,1.407089767547861
2020-03-04,1.425469067609216
2020-03-05,1.51806594196952
2020-03-06,1.46733015874562
2020-03-09,1.3314217488950093
2020-03-10,1.4270793233474177
2020-03-11,1.3778407824350882
2020-03-12,1.3146169359715005
2020-03-13,1.2936417483626104
2020-03-16,1.1893161278323214
2020-03-17,1.2071894835476773
2020-03-18,1.1598566709974807
2020-03-19,1.145072315264293
2020-03-20,1.1565173486409117
2020-03-23,1.0433552688713283
2020-03-24,1.1130618021547891
2020-03-25,1.174817205884796
2020-03-26,1.187604779964341
2020-03-27,1.189485580109309
2020-03-30,1.1411200346027006
2020-03-31,1.1517506371760293
2020-04-01,1.1401004230125094
2020-04-02,1.1907660505611342
2020-04-03,1.1664875138031716
2020-04-07,1.2176535223517075
2020-04-08,1.2202162095568718
2020-04-09,1.2296410388542136
2020-04-10,1.1851663569970736
2020-04-13,1.1726163851633953
2020-04-14,1.2234130797970892
2020-04-15,1.2113726237450173
2020-04-16,1.2102592115911628
2020-04-17,1.2195566640392081
2020-04-20,1.2529981088912847
2020-04-21,1.273908940106191
2020-04-22,1.3299672683874453
2020-04-23,1.29505219904795
2020-04-24,1.2833874330818578
2020-04-27,1.2607118895795297
2020-04-28,1.3041608409856686
2020-04-29,1.2285820786195838
2020-04-30,1.323562968414095
2020-05-06,1.3869332302599329
2020-05-07,1.3886331788142077
2020-05-08,1.4151663240920636
2020-05-11,1.3735270170644474
2020-05-12,1.412930092354646
2020-05-13,1.4472255469486455
2020-05-14,1.4041998362115604
2020-05-15,1.4026392506541538
