quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
116,002793,罗欣药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.6,0.244,0.152,21.0526,4.19,4.64,4.76,5.07,3.0023,-0.7739,WEAK,0.29,11.4342,-11.8784,140222817.65,56.6421,SECONDARY_RESEARCH,,,
117,002236,大华股份,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,17.29,0.4712,0.304,10.4792,16.47,17.36,17.94,18.23,0.7708,-0.1984,WEAK,0.63,7.8432,-6.7501,703210612.55,56.6093,SECONDARY_RESEARCH,,,
118,002349,精华制药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.57,0.1496,0.092,8.0592,6.42,6.92,7.25,7.43,0.0311,-1.3687,WEAK,0.24,2.4806,-16.3641,57941897.25,56.455,SECONDARY_RESEARCH,,,
119,002439,启明星辰,I65软件和信息技术服务业,baostock.query_stock_industry,2026-07-06,2026-07-10,13.38,0.0464,0.132,7.9903,12.97,14.39,14.29,14.91,-0.6167,-0.0613,NONE,0.58,2.4905,-10.6049,397586477.65,56.417,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
120,002044,美年健康,Q84卫生,baostock.query_stock_industry,2026-07-06,2026-07-10,4.64,0.1512,0.016,5.6948,5.03,5.42,5.98,5.62,-2.9261,-1.3447,NONE,0.25,-5.8376,-16.2208,661571762.45,56.3942,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
121,000919,金陵药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.13,0.0328,0.072,6.0554,6.07,6.65,7.11,7.15,-0.1892,-2.5455,WEAK,0.23,0.1792,-19.882,65382008.15,56.372,SECONDARY_RESEARCH,,,
122,000739,普洛药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,18.0,0.5728,0.816,27.2085,17.05,17.2,17.59,16.69,3.5223,0.1203,MEDIUM,0.84,15.4964,-1.5178,206512412.8,56.179,SECONDARY_RESEARCH,,,
123,000651,格力电器,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,38.25,0.4768,0.224,4.1667,37.74,38.4,38.45,40.68,0.1699,0.2384,WEAK,0.79,-1.9602,-1.5005,1880311853.6,56.1539,SECONDARY_RESEARCH,,,
124,000768,中航西飞,C37铁路、船舶、航空航天和其他运输设备制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,20.49,0.0392,0.056,2.9131,20.65,22.25,25.12,25.73,-0.2247,-1.5104,NONE,0.6,-2.7064,-21.979,614152642.55,56.1315,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
125,002352,顺丰控股,G60邮政业,baostock.query_stock_industry,2026-07-06,2026-07-10,32.03,0.008,0.04,3.926,32.12,34.75,36.28,39.44,-1.5917,-1.2008,NONE,0.84,-8.0105,-17.7959,835235301.5,56.0194,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
126,000538,云南白药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,48.82,0.0336,0.068,3.8723,48.59,50.74,53.46,55.19,-0.4752,-1.0665,NONE,1.2,-4.7332,-15.2322,459284720.25,55.986,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
127,000983,山西焦煤,B06煤炭开采和洗选业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.12,0.012,0.028,5.5172,6.35,6.67,6.84,6.94,-4.5581,-0.3608,NONE,0.24,-15.9552,-10.2799,553252412.35,55.9765,SECONDARY_RESEARCH,,trend_unconfirmed,trend_unconfirmed
128,002061,浙江交科,E48土木工程建筑业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.51,0.0288,0.06,6.3636,3.49,3.67,3.86,4.0,0.1005,-0.8245,WEAK,0.1,-3.2662,-13.9698,55457799.75,55.9425,SECONDARY_RESEARCH,,,
129,002399,海普瑞,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,9.54,0.0952,0.092,10.289,9.21,10.0,10.88,11.67,0.0109,-1.5532,WEAK,0.45,1.0496,-18.4103,53356629.15,55.7755,SECONDARY_RESEARCH,,,
131,002555,三七互娱,I64互联网和相关服务,baostock.query_stock_industry,2026-07-06,2026-07-10,19.18,0.416,0.248,16.3129,18.56,19.99,22.31,21.21,0.5636,-1.3861,WEAK,0.94,7.6045,-16.9737,921059968.6,55.5631,SECONDARY_RESEARCH,,,
132,000597,东北制药,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.51,0.0912,0.096,7.381,4.44,4.72,5.0,5.32,0.3846,-1.5458,WEAK,0.2,-0.6412,-19.1786,52453245.85,55.4618,SECONDARY_RESEARCH,,,
133,002321,华英农业,A03畜牧业,baostock.query_stock_industry,2026-07-06,2026-07-10,1.88,0.1288,0.104,13.253,1.77,1.95,2.13,2.43,-0.141,-1.2689,WEAK,0.08,1.9858,-21.6144,51095938.15,55.3774,SECONDARY_RESEARCH,,falling_knife,falling_knife
134,002481,双塔食品,C14食品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.0,0.0448,0.076,5.8201,3.94,4.19,4.54,5.09,-0.1772,-1.0468,WEAK,0.14,-1.0602,-15.3469,46866008.85,55.3639,SECONDARY_RESEARCH,,falling_knife,falling_knife
135,002251,步步高,F52零售业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.49,0.1136,0.028,4.491,3.64,4.02,4.41,4.95,-6.4396,-1.5699,NONE,0.2,-11.8237,-21.1402,513859743.5,55.2762,SECONDARY_RESEARCH,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
136,002234,民和股份,A03畜牧业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.19,0.0192,0.092,12.1685,6.89,7.68,8.32,8.59,0.138,-1.3991,WEAK,0.3,0.6749,-20.4384,49150394.55,55.2121,SECONDARY_RESEARCH,,,
