code,stock_name,exchange,board,security_type,listing_status,listing_date,is_st,is_suspended,latest_trade_date,latest_close,avg_turnover_20d,industry,industry_source,industry_update_date,universe_source,exclusion_reason
001280,中国铀业,SZSE,主板,A_SHARE,listed,2025-12-03,False,,2026-07-10,62.06,683296140.85,B09有色金属矿采选业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001282,三联锻造,SZSE,主板,A_SHARE,listed,2023-05-24,False,,2026-07-10,17.22,136872121.25,C36汽车制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001283,豪鹏科技,SZSE,主板,A_SHARE,listed,2022-09-05,False,False,2026-07-10,44.7,220342874.25,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001285,瑞立科密,SZSE,主板,A_SHARE,listed,2025-09-30,False,,2026-07-10,40.9,56607480.6,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001286,陕西能源,SZSE,主板,A_SHARE,listed,2023-04-10,False,,2026-07-10,9.91,241329230.9,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001287,中电港,SZSE,主板,A_SHARE,listed,2023-04-10,False,,2026-07-10,31.03,1510174948.15,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001288,运机集团,SZSE,主板,A_SHARE,listed,2021-11-01,False,False,2026-07-10,23.29,113866467.5,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001289,龙源电力,SZSE,主板,A_SHARE,listed,2022-01-24,False,False,2026-07-10,15.66,158170573.1,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001296,长江材料,SZSE,主板,A_SHARE,listed,2021-12-24,False,False,2026-07-10,17.91,114927817.85,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001298,好上好,SZSE,主板,A_SHARE,listed,2022-10-31,False,False,2026-07-10,21.42,263885547.25,F51批发业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001299,美能能源,SZSE,主板,A_SHARE,listed,2022-10-31,False,False,2026-07-10,9.97,57218606.8,D45燃气生产和供应业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001300,三柏硕,SZSE,主板,A_SHARE,listed,2022-10-19,False,False,2026-07-10,11.82,61820873.65,C24文教、工美、体育和娱乐用品制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001301,尚太科技,SZSE,主板,A_SHARE,listed,2022-12-28,False,False,2026-07-10,48.89,427114501.55,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001306,夏厦精密,SZSE,主板,A_SHARE,listed,2023-11-16,False,,2026-07-10,54.71,59087825.7,C34通用设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
001308,康冠科技,SZSE,主板,A_SHARE,listed,2022-03-18,False,False,2026-07-10,19.01,118512688.1,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001309,德明利,SZSE,主板,A_SHARE,listed,2022-07-01,False,False,2026-07-10,799.98,13510995350.9,C39计算机、通信和其他电子设备制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001311,多利科技,SZSE,主板,A_SHARE,listed,2023-02-27,False,False,2026-07-10,18.0,122441434.15,C36汽车制造业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,
001312,福恩股份,SZSE,主板,A_SHARE,listed,2026-04-21,False,,2026-07-10,18.07,57283636.2,C17纺织业,baostock.query_stock_industry,2026-07-06,SZSE ShowReport CATALOGID=1110 TABKEY=tab1,insufficient_history
