quant_rank,code,stock_name,industry,industry_source,industry_update_date,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
726,002233,塔牌集团,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.47,0.24,0.044,7.1736,7.42,8.22,8.86,8.8,-0.6758,-1.7425,NONE,0.26,-1.5779,-25.0501,65668594.8,40.7978,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
727,002608,江苏国信,D44电力、热力生产和供应业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.83,0.3912,0.016,1.6369,7.56,8.15,8.08,7.96,-7.3936,-1.2401,NONE,0.26,-23.1644,-19.7993,373173960.1,40.7024,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
728,002790,瑞尔特,C29橡胶和塑料制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.54,0.036,0.04,4.1353,5.65,6.58,7.42,7.8,-2.2741,-2.7468,NONE,0.24,-9.2843,-32.7649,23900793.35,40.6973,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
729,001316,润贝航科,F51批发业,baostock.query_stock_industry,2026-07-06,2026-07-10,31.25,0.2161,0.02,1.626,34.34,42.72,45.86,40.24,-2.5693,-3.2908,NONE,1.73,-16.4385,-42.1828,108644833.15,40.6854,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
730,002093,国脉科技,I65软件和信息技术服务业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.46,0.2984,0.036,4.8701,6.59,7.75,9.27,10.73,-2.5209,-3.3262,NONE,0.27,-5.8899,-37.3517,91648854.65,40.5858,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
731,002228,合兴包装,C22造纸和纸制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.06,0.2136,0.036,4.0816,3.09,3.47,3.88,3.84,-1.6386,-2.0555,NONE,0.12,-4.168,-25.5678,66993160.0,40.571,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
732,002020,京新药业,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,14.32,0.796,0.16,21.562,13.13,13.86,15.24,17.02,3.9845,-0.9412,WEAK,0.99,15.1119,-14.0868,320789406.95,40.5189,HARD_REJECT,price_too_high,,price_too_high
733,002702,海欣食品,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.53,0.3016,0.288,8.6331,4.67,5.31,5.83,5.63,-3.3054,-1.7285,NONE,0.17,-10.7109,-23.5409,71437010.55,40.392,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
734,000886,海南高速,G54道路运输业,baostock.query_stock_industry,2026-07-06,2026-07-10,4.28,0.2696,0.064,5.1597,4.22,4.86,5.55,6.3,-1.4142,-2.5546,NONE,0.15,-0.8414,-30.1282,65527961.65,40.3546,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
735,000420,吉林化纤,C28化学纤维制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.78,0.4016,0.008,0.8,4.11,4.65,4.67,4.41,-2.5124,-1.8966,NONE,0.18,-9.3401,-29.7302,318647214.55,40.2748,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
736,000524,岭南控股,L72商务服务业,baostock.query_stock_industry,2026-07-06,2026-07-10,9.87,0.504,0.132,11.778,9.22,9.85,11.22,12.12,0.4029,-1.9461,WEAK,0.52,11.4972,-26.6153,106187860.65,40.268,LOW_PRIORITY,,,
737,002742,冀衡医药,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,3.69,0.2624,0.06,13.1902,3.61,4.22,4.29,4.59,-2.3906,-1.7433,NONE,0.22,-3.9494,-24.9344,60876357.45,40.2572,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
738,002386,天原股份,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,5.65,0.44,0.516,14.3725,5.98,6.18,6.09,5.73,1.0141,-0.3465,NONE,0.26,-2.0139,-13.0098,196588716.95,40.2337,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
739,002967,广电计量,M74专业技术服务业,baostock.query_stock_industry,2026-07-06,2026-07-10,18.47,0.4456,0.18,7.7596,18.48,20.33,21.46,20.68,0.5305,-0.8236,NONE,0.68,5.9481,-14.3362,171223906.3,40.2156,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
740,000659,珠海中富,C29橡胶和塑料制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,2.75,0.2376,0.08,2.9963,3.18,3.76,4.05,3.49,-5.8684,-2.8985,NONE,0.15,-23.1859,-40.4803,97962418.6,40.211,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
741,002294,信立泰,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,37.13,0.7792,0.152,23.1509,33.53,39.75,46.72,50.71,4.5999,-5.1869,WEAK,2.92,17.9248,-44.921,1315993108.1,40.2004,HARD_REJECT,price_too_high,,price_too_high
742,000039,中集集团,C33金属制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,8.2,0.4632,0.308,5.8065,8.49,10.36,10.78,9.55,-3.8927,-2.7817,NONE,0.38,-12.758,-35.0598,371480128.95,40.1934,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
743,002596,海南瑞泽,C30非金属矿物制品业,baostock.query_stock_industry,2026-07-06,2026-07-10,2.85,0.2544,0.016,2.8881,3.11,3.51,3.86,4.17,-6.2246,-1.8965,NONE,0.19,-22.1442,-26.1371,93193269.5,40.157,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
744,000423,东阿阿胶,C27医药制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,46.79,0.3664,0.04,7.6127,46.45,49.97,51.62,50.37,-1.3705,-1.3571,NONE,1.38,-7.787,-18.7378,238842969.1,40.0588,LOW_PRIORITY,,trend_unconfirmed,trend_unconfirmed
745,002339,积成电子,C38电气机械和器材制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,6.7,0.3184,0.016,2.1341,7.16,8.73,10.07,9.16,-3.9938,-3.273,NONE,0.29,-12.5691,-39.322,94685821.6,40.0568,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
746,001319,铭科精技,C36汽车制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,20.97,0.2661,0.032,8.3721,21.6,23.43,25.45,26.18,-2.6765,-1.238,NONE,1.01,-11.6188,-20.8213,63179067.55,40.0552,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
747,001323,慕思股份,C21家具制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,16.24,0.0051,0.02,2.7848,17.0,20.69,23.47,26.2,-4.1769,-3.1637,NONE,0.68,-13.05,-37.4094,24780042.6,40.0107,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
748,002749,国光股份,C26化学原料和化学制品制造业,baostock.query_stock_industry,2026-07-06,2026-07-10,7.97,0.0048,0.024,1.3995,8.16,10.24,11.87,13.4,-2.3446,-4.079,NONE,0.26,-8.5286,-43.9634,23915056.4,39.904,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
749,002286,保龄宝,C13农副食品加工业,baostock.query_stock_industry,2026-07-06,2026-07-10,8.13,0.292,0.008,1.3716,8.69,9.31,9.71,9.95,-1.8573,-1.549,NONE,0.33,-11.6747,-23.8589,65515060.75,39.8974,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
750,002229,鸿博股份,C23印刷和记录媒介复制业,baostock.query_stock_industry,2026-07-06,2026-07-10,10.02,0.3824,0.02,5.8078,11.02,14.67,15.81,16.77,-9.4371,-4.5158,NONE,0.58,-27.5802,-48.4874,364151417.2,39.8718,LOW_PRIORITY,,falling_knife;trend_unconfirmed,falling_knife;trend_unconfirmed
