date,nav,cash_weight,turnover,w_601100,w_002747,w_002050,w_600845,w_002027,w_600489,w_600089,w_600887
2023-06-16,2.3557907984289024,0.39922369728150475,0.0,0.14309991299571953,0.0,0.0251142288291433,0.037003489040717895,0.035392839288180704,0.16740375650460287,0.12855377665233989,0.064208299407791
2023-06-19,2.3508194571406347,0.4000679463979233,0.0,0.14342586290026432,0.0,0.025993516641028974,0.03848868431185029,0.035236248706563285,0.16547654483963548,0.1276695053161087,0.0636416908866256
2023-06-20,2.367537457728268,0.39724292830110675,0.0,0.14866841637894104,0.0,0.026850834198425644,0.037797799978827644,0.03475763085314052,0.16448229746332124,0.1275059634333597,0.06269412939287744
2023-06-21,2.3451619957964884,0.4010330690401269,0.0,0.14884726469931242,0.0,0.02661724248029697,0.037682444390298865,0.03369728688779174,0.16112638152307066,0.12772915557234213,0.06326715540676034
2023-06-26,2.3271937603954855,0.4041294406060575,0.0,0.1458718442603855,0.0,0.025602314104482094,0.036916353038510916,0.03290542479182561,0.16467482032503405,0.12629620298882085,0.06360359988488351
2023-06-27,2.342480997579463,0.4014920563037061,0.0,0.14529452323463227,0.0,0.02563136682560514,0.03610182847453323,0.03292294170485235,0.16870713902940132,0.12696372373039944,0.06288642069687027
2023-06-28,2.3311848246735414,0.40343755785311486,0.0,0.14324565954211232,0.0,0.025755568196690202,0.035682646724805284,0.03314082222381726,0.16687028724283842,0.1288280903031429,0.06303936791347872
2023-06-29,2.3377647213202586,0.4023020383502892,0.0,0.14490721900148923,0.0,0.02648706826337924,0.03589170142769984,0.03258208536215849,0.1679887412713632,0.12763507256647058,0.0622060737571503
2023-06-30,2.3378904264888254,0.40821093933561625,0.005932918912369203,0.14595433786756312,0.0,0.02609244768603747,0.03125,0.03125,0.16621422986632242,0.1286238933444382,0.06240415190002255
2023-07-03,2.3544961128059083,0.40533192723067335,0.0,0.14576361668602852,0.0,0.02496823472169634,0.030999090462766932,0.03075155835547122,0.16959725977819917,0.12887105570183097,0.06371725706333346
2023-07-04,2.3401467970810805,0.4078173421646598,0.0,0.14208681811796406,0.0,0.025594312158989878,0.031104751225883246,0.03172341500590667,0.16887441556046404,0.12866578745879168,0.06413315830734063
2023-07-05,2.352929530636833,0.4056017975185372,0.0,0.14732929685559845,0.0,0.02489610243187943,0.030531229999439295,0.031384134682649445,0.1712880616394881,0.12598664260050213,0.06298273427190589
2023-07-06,2.3475988890870463,0.40652278866594793,0.0,0.14658906585977816,0.0,0.024703551921987473,0.0303634022832817,0.0322919776849336,0.17062269053481174,0.12610733105590938,0.06279919199334988
2023-07-07,2.3395616061231337,0.4079193488912637,0.0,0.1466003142607994,0.0,0.024208206567623937,0.03012994961331631,0.03234694931652587,0.1694456224223736,0.1262086479894111,0.06314096093868614
2023-07-10,2.344617965494461,0.40703963763217277,0.0,0.14471674493428577,0.0,0.023202942094507427,0.03034838694795743,0.03350573407160793,0.1706636765650757,0.1281720273905447,0.06235085036384822
2023-07-11,2.36237028496344,0.40398088865883175,0.0,0.14444189862063558,0.0,0.023877234789566354,0.03192967875784576,0.03330937440063872,0.17287359951415143,0.12745539187150168,0.06213193338682873
2023-07-12,2.3778066989535613,0.40135829690476743,0.0,0.14525734614344948,0.0,0.023485092424034716,0.03160154818654641,0.03331338804930066,0.1736596745046284,0.12989367954511447,0.06143097424215849
2023-07-13,2.3913961509550377,0.39907752075272607,0.0,0.14539523848543234,0.0,0.023369100709776214,0.03172236907368995,0.03438334248144757,0.17405283109409075,0.12956143427770261,0.062438163125134526
2023-07-14,2.386337926891182,0.39992342924542845,0.0,0.14765717216965346,0.0,0.02350614883276265,0.031586409067241916,0.03434649026721945,0.17303883608519205,0.12934795492365878,0.06059355940884321
2023-07-17,2.3822326391175768,0.4006126149855197,0.0,0.14699063496977663,0.0,0.023292430094293593,0.0315729914756801,0.03380110673510167,0.17541499934240004,0.12875594844260538,0.05955927395462295
2023-07-18,2.3824777015572463,0.40057140784023293,0.0,0.14688342554276712,0.0,0.023561765902490983,0.031381290286526344,0.03379762994215011,0.17643583244201036,0.12833529094138135,0.05903335710244082
2023-07-19,2.409191348480807,0.39612978340742666,0.0,0.15121975656796777,0.0,0.023421864638590143,0.03150296478782913,0.03391198957481961,0.17995871049691198,0.12562301321484934,0.05823191731160535
2023-07-20,2.388371764915981,0.3995828710922317,0.0,0.1507466265980379,0.0,0.023057680572046997,0.030897791833200364,0.033933503094809456,0.1794547964683994,0.12371065606743688,0.05861607427383731
2023-07-21,2.3825502280384727,0.40055921416878415,0.0,0.14895091447994002,0.0,0.02264069520248145,0.030521012848677673,0.0337966011188562,0.1802395589195712,0.12401293139324616,0.059279071868443015
2023-07-24,2.3712785171262554,0.40246324510936193,0.0,0.14803975765680122,0.0,0.022906841056564646,0.03056763372285791,0.03346031558032329,0.17831289459229474,0.12501175618955201,0.05923755609224425
2023-07-25,2.3804693667426156,0.4009093586306739,0.0,0.14792902309941272,0.0,0.02367814656395661,0.02989132070173461,0.03492618125340684,0.17675797850963457,0.12583391679339145,0.060074074447789304
2023-07-26,2.380476694207168,0.4009081245714953,0.0,0.14785944225272743,0.0,0.0226428707542325,0.029778061495807386,0.03415605007225238,0.1790102252529162,0.12567042702160056,0.05997479857896825
2023-07-27,2.3749550451207933,0.40184021546909277,0.0,0.14898845163655236,0.0,0.023029659774006922,0.029522127095522994,0.03423546114281689,0.1775157754152778,0.12465475121341836,0.06021355825331184
2023-07-28,2.3813016057469247,0.4007692451714465,0.0,0.1537048878219558,0.0,0.022608717389945767,0.029051268724849325,0.034199200643063685,0.1720189510730538,0.12603450811164943,0.061613221064035655
2023-07-31,2.402872718673171,0.4651149378466004,0.06797048160913491,0.09375,0.0,0.023290666898433916,0.028661460136850062,0.03125,0.17080644168230727,0.12570243536653844,0.06142405806926992
2023-08-01,2.4088874519331243,0.4639535957987926,0.0,0.09210023419427961,0.0,0.023223843756551812,0.02912665499612067,0.03151505984946612,0.1736334429450497,0.1260332411959704,0.06041392726376919
2023-08-02,2.4043716102235067,0.4648249839778603,0.0,0.0933673637694905,0.0,0.02338905412109656,0.029270988014976122,0.03137783243557022,0.17121463374756438,0.12602774846391798,0.06052739546952387
2023-08-03,2.405987046421275,0.4645128895690971,0.0,0.09337216943015185,0.0,0.023486181038086137,0.029139375097158957,0.031602122717726985,0.16938525060873955,0.12747607056340482,0.061025940975634664
2023-08-04,2.4038230937393306,0.46493105008839597,0.0,0.09071347256389359,0.0,0.024019863178394902,0.029763262615838212,0.03167968715192434,0.17039571788591484,0.12783308723547818,0.060663859280159924
2023-08-07,2.406903704932775,0.4643359819125704,0.0,0.09090772520126185,0.0,0.024032499968248817,0.030113147534777725,0.0315900871906258,0.17257690908962656,0.12629841724786606,0.060145231855022775
2023-08-08,2.411237381567746,0.4635014386150198,0.0,0.08943779220571103,0.0,0.024318401940789162,0.030319696118860547,0.031435381318222363,0.17603026309973735,0.12494434791067781,0.06001267879098198
2023-08-09,2.403097820456129,0.4650713698316413,0.0,0.0893217577454782,0.0,0.02376642055782102,0.029697515864287132,0.031148811530442085,0.17542495649247783,0.12520599227339063,0.06036317570446176
2023-08-10,2.4018486153607257,0.4653132541540772,0.0,0.08971979130437846,0.0,0.023691838980708098,0.029899882583574358,0.031165012074402573,0.17397055363612896,0.1264834131840605,0.05975625408266987
2023-08-11,2.3759228756640636,0.470390687612953,0.0,0.08760943734014259,0.0,0.02333512239786155,0.030188353809878624,0.03085907712326329,0.17291749310634882,0.1250857156127024,0.05961411299684967
2023-08-14,2.3756927002030355,0.47043626269653827,0.0,0.08600473865977268,0.0,0.023434073008373777,0.030380257651058732,0.031309343322215966,0.17380239049754811,0.12526125465435703,0.05937167951013543
2023-08-15,2.365717671219353,0.47241985330519887,0.0,0.0867517810859848,0.0,0.023179801074163068,0.03044003647218601,0.03109201047691512,0.17261725731311353,0.12390216616048928,0.059597094111949335
2023-08-16,2.343812430726201,0.4768350831097373,0.0,0.08753484804700414,0.0,0.02304896732430722,0.030241824092204033,0.03128184930580214,0.17071072714767502,0.12067062560299971,0.05967607537027045
2023-08-17,2.351571965269135,0.4752616597345146,0.0,0.08959392903317182,0.0,0.023194915534860854,0.030302405061009417,0.031329249279645074,0.17172611663493,0.11878658192008416,0.05980514280178406
2023-08-18,2.3311077413759103,0.4794338654374275,0.0,0.08842989518415433,0.0,0.022798345809167564,0.030175531942582864,0.030945858562848576,0.1693407669568366,0.11932974417408417,0.0595459919328985
2023-08-21,2.3203872368385734,0.48164891508438956,0.0,0.08732678592826498,0.0,0.022903677266697883,0.03067095608204946,0.03129236018302438,0.1699453771944913,0.11720402680267353,0.05900790145840893
2023-08-22,2.3361347209985803,0.4784022022159923,0.0,0.08733594150431372,0.0,0.023669985579383643,0.030256655143982243,0.03138465714327586,0.17409686949988776,0.1159154136069935,0.05893827530617103
