date,nav,cash_weight,turnover,w_600089
2021-04-20,1.1886840798521177,0.7680722891566265,0.0,0.2319277108433735
2021-04-21,1.1858197808645223,0.769927536231884,0.0,0.23007246376811594
2021-04-22,1.1890421172255674,0.7678410117434508,0.0,0.2321589882565492
2021-04-23,1.194412677827309,0.764388489208633,0.0,0.23561151079136694
2021-04-26,1.1911903414662641,0.7664562669071235,0.0,0.2335437330928765
2021-04-27,1.1926224909600618,0.7655358751125788,0.0,0.23446412488742122
2021-04-28,1.2030055747900954,0.7589285714285714,0.0,0.2410714285714286
2021-04-29,1.2187592192218704,0.7491186839012925,0.0,0.25088131609870745
2021-04-30,1.2073020232714886,0.7562277580071174,0.0,0.24377224199288264
2021-05-06,1.2073020232714886,0.7562277580071174,0.0,0.24377224199288264
2021-05-07,1.203363612163545,0.7587027670336209,0.0,0.2412972329663791
2021-05-10,1.214104733367028,0.7519905632556767,0.0,0.2480094367443233
2021-05-11,1.2101663222590844,0.7544378698224851,0.0,0.2455621301775149
2021-05-12,1.2105243596325337,0.7542147293700088,0.0,0.24578527062999125
2021-05-13,1.2004993131759496,0.7605129734566058,0.0,0.2394870265433941
2021-05-14,1.201573425296298,0.7598331346841476,0.0,0.24016686531585238
2021-05-17,1.2062279111511405,0.7569011576135349,0.0,0.243098842386465
2021-05-18,1.1997832384290508,0.7609668755595342,0.0,0.23903312444046573
2021-05-19,1.195844827321107,0.7634730538922153,0.0,0.23652694610778466
2021-05-20,1.2015734252962982,0.7598331346841476,0.0,0.24016686531585243
2021-05-21,1.1990671636821522,0.7614213197969542,0.0,0.2385786802030459
2021-05-24,1.1933385657069613,0.7650765076507648,0.0,0.23492349234923512
2021-05-25,1.2012153879228489,0.7600596125186287,0.0,0.2399403874813713
2021-05-26,1.1958448273211073,0.7634730538922154,0.0,0.23652694610778463
2021-05-27,1.1969189394414557,0.7627879150463653,0.0,0.23721208495363463
2021-05-28,1.1933385657069613,0.7650765076507648,0.0,0.23492349234923512
2021-05-31,1.1976350141883543,0.7623318385650222,0.0,0.2376681614349778
2021-06-01,1.1926224909600622,0.7655358751125786,0.0,0.23446412488742138
2021-06-02,1.1911903414662646,0.7664562669071233,0.0,0.23354373309287665
2021-06-03,1.1868938929848714,0.769230769230769,0.0,0.23076923076923098
2021-06-04,1.1879680051052197,0.7685352622061481,0.0,0.23146473779385193
2021-06-07,1.1854617434910737,0.7701600724856537,0.0,0.22983992751434634
2021-06-08,1.1861778182379725,0.7696951403561725,0.0,0.23030485964382755
2021-06-09,1.1836715566238265,0.7713248638838474,0.0,0.22867513611615264
2021-06-10,1.1926224909600622,0.7655358751125786,0.0,0.2344641248874214
2021-06-11,1.194770715200759,0.7641594246329035,0.0,0.23584057536709643
2021-06-15,1.1861778182379725,0.7696951403561725,0.0,0.23030485964382758
2021-06-16,1.178300996022085,0.7748404740200545,0.0,0.22515952597994554
2021-06-17,1.1797331455158828,0.7738998482549315,0.0,0.22610015174506853
2021-06-18,1.1797331455158828,0.7738998482549315,0.0,0.22610015174506853
2021-06-21,1.1768688465282873,0.7757833891086094,0.0,0.22421661089139056
2021-06-22,1.1761527717813884,0.7762557077625569,0.0,0.22374429223744313
2021-06-23,1.1822394071300288,0.7722592368261658,0.0,0.22774076317383424
2021-06-24,1.2090922101387362,0.7551080840983119,0.0,0.2448919159016881
2021-06-25,1.2148208081139271,0.7515473032714409,0.0,0.24845269672855905
2021-06-28,1.2166109949811743,0.7504414361389049,0.0,0.24955856386109504
2021-06-29,1.223055667703264,0.7464871194379388,0.0,0.25351288056206117
2021-06-30,1.22556192931741,0.7449605609114809,0.0,0.2550394390885191
2021-07-01,1.2158949202342753,0.7508833922261482,0.0,0.24911660777385186
2021-07-02,1.2252038919439605,0.7451782583284626,0.0,0.25482174167153737
2021-07-05,1.2219815555829157,0.7471432757105183,0.0,0.2528567242894817
2021-07-06,1.2201913687156685,0.748239436619718,0.0,0.25176056338028197
2021-07-07,1.2259199666908596,0.7447429906542054,0.0,0.25525700934579465
2021-07-08,1.226278004064309,0.7445255474452552,0.0,0.25547445255474477
2021-07-09,1.2366610878943427,0.7382744643891139,0.0,0.26172553561088613
2021-07-12,1.2345128636536462,0.7395591647331784,0.0,0.2604408352668216
2021-07-13,1.2667362272640952,0.7207461842849064,0.0,0.27925381571509356
2021-07-14,1.2577852929278592,0.7258753202391115,0.0,0.27412467976088845
2021-07-15,1.2738969747330837,0.7166947723440131,0.0,0.2833052276559868
2021-07-16,1.2917988434055554,0.706762749445676,0.0,0.29323725055432404
2021-07-19,1.2871443575507127,0.7093184979137688,0.0,0.29068150208623117
2021-07-20,1.2875023949241622,0.7091212458286982,0.0,0.2908787541713018
