date,nav,cash_weight,turnover,w_002027
2024-12-06,0.9293576956352535,0.7540106951871652,0.0,0.24598930481283482
2024-12-09,0.9243878683858671,0.7580645161290317,0.0,0.2419354838709683
2024-12-10,0.9300676709565945,0.7534351145038163,0.0,0.24656488549618377
2024-12-11,0.9279377449925718,0.7551644988523329,0.0,0.244835501147667
2024-12-12,0.929712683295924,0.7537227949599078,0.0,0.24627720504009223
2024-12-13,0.9265177943498899,0.7563218390804591,0.0,0.24367816091954084
2024-12-16,0.925097843707208,0.7574827321565611,0.0,0.24251726784343883
2024-12-17,0.925097843707208,0.7574827321565611,0.0,0.24251726784343883
2024-12-18,0.9265177943498899,0.7563218390804591,0.0,0.24367816091954084
2024-12-19,0.9258078190285489,0.756901840490797,0.0,0.24309815950920305
2024-12-20,0.9258078190285489,0.756901840490797,0.0,0.24309815950920305
2024-12-23,0.9243878683858671,0.7580645161290317,0.0,0.24193548387096833
2024-12-24,0.9325525845812876,0.7514274838218494,0.0,0.24857251617815057
2024-12-25,0.9293576956352535,0.7540106951871651,0.0,0.24598930481283485
2024-12-26,0.9304226586172649,0.7531476535673401,0.0,0.24685234643265988
2024-12-27,0.9240328807251966,0.7583557433730306,0.0,0.24164425662696948
2024-12-30,0.9261628066892194,0.756611728631659,0.0,0.24338827136834099
2024-12-31,0.9293576956352534,0.7540106951871651,0.0,0.2459893048128349
2025-01-02,0.924387868385867,0.7580645161290316,0.0,0.2419354838709684
2025-01-03,0.9204830041184919,0.761280370227535,0.0,0.23871962977246497
2025-01-06,0.9183530781544692,0.7630459992269032,0.0,0.23695400077309686
2025-01-07,0.9183530781544692,0.7630459992269032,0.0,0.23695400077309686
2025-01-08,0.9194180411364805,0.7621621621621615,0.0,0.23783783783783846
2025-01-09,0.9137382385657532,0.7668997668997664,0.0,0.2331002331002337
2025-01-10,0.9101883619590486,0.7698907956318246,0.0,0.23010920436817534
2025-01-13,0.9105433496197191,0.7695906432748532,0.0,0.23040935672514679
2025-01-14,0.9133832509050827,0.767197823552273,0.0,0.232802176447727
2025-01-15,0.9112533249410598,0.7689910401246585,0.0,0.23100895987534148
2025-01-16,0.9133832509050825,0.767197823552273,0.0,0.23280217644772702
2025-01-17,0.9144482138870939,0.7663043478260863,0.0,0.2336956521739137
2025-01-20,0.9084134236556961,0.7713950762016406,0.0,0.22860492379835937
2025-01-21,0.9112533249410598,0.7689910401246585,0.0,0.23100895987534148
2025-01-22,0.9077034483343552,0.7719984356667964,0.0,0.2280015643332036
2025-01-23,0.9094783866377074,0.7704918032786878,0.0,0.22950819672131212
2025-01-24,0.9112533249410598,0.7689910401246585,0.0,0.2310089598753415
2025-01-27,0.9158681645297758,0.7651162790697668,0.0,0.23488372093023321
2025-02-05,0.9172881151724576,0.7639318885448909,0.0,0.23606811145510903
2025-02-06,0.913738238565753,0.7668997668997662,0.0,0.23310023310023378
2025-02-07,0.9144482138870939,0.7663043478260863,0.0,0.2336956521739137
2025-02-10,0.9165781398511166,0.7645236250968235,0.0,0.23547637490317652
2025-02-11,0.9179980904937983,0.7633410672853822,0.0,0.23665893271461785
2025-02-12,0.9155131768691052,0.7654129507561064,0.0,0.23458704924389365
2025-02-13,0.916933127511787,0.7642276422764221,0.0,0.23577235772357788
2025-02-14,0.9204830041184917,0.761280370227535,0.0,0.23871962977246494
2025-02-17,0.9155131768691054,0.7654129507561065,0.0,0.23458704924389354
2025-02-18,0.9073484606736849,0.7723004694835676,0.0,0.22769953051643246
