,TRUE_BUYHOLD_single_600845
2018-12-28,1.291390243902439
2019-01-02,1.3604268292682926
2019-01-03,1.4497682926829267
2019-01-04,1.5553536585365852
2019-01-07,1.579719512195122
2019-01-08,1.5472317073170732
2019-01-09,1.5431707317073171
2019-01-10,1.6446951219512194
2019-01-11,1.5959634146341464
2019-01-14,1.5634756097560978
2019-01-15,1.6893658536585368
2019-01-16,1.7868292682926832
2019-01-17,1.7665243902439023
2019-01-18,1.8152560975609755
2019-01-21,1.794951219512195
2019-01-22,1.7584024390243904
2019-01-23,1.8111951219512195
2019-01-24,1.8842926829268292
2019-01-25,1.8315
2019-01-28,1.8152560975609755
2019-01-29,1.7868292682926832
2019-01-30,1.8193170731707318
2019-01-31,1.8518048780487804
2019-02-01,2.01830487804878
2019-02-11,2.0548536585365853
2019-02-12,1.989878048780488
2019-02-13,2.0223658536585365
2019-02-14,2.0223658536585365
2019-02-15,2.0101829268292684
2019-02-18,2.107646341463415
2019-02-19,2.1441951219512196
2019-02-20,2.083280487804878
2019-02-21,2.0914024390243906
2019-02-22,2.1523170731707317
2019-02-25,2.452829268292683
2019-02-26,2.4000365853658536
2019-02-27,2.294451219512195
2019-02-28,2.278207317073171
2019-03-01,2.339121951219512
2019-03-04,2.4893780487804875
2019-03-05,2.6477560975609755
2019-03-06,2.90359756097561
2019-03-07,3.0051219512195124
2019-03-08,2.8508048780487805
2019-03-11,3.0457317073170733
2019-03-12,3.171621951219512
2019-03-13,2.8995365853658535
2019-03-14,2.6396341463414634
2019-03-15,2.6396341463414634
2019-03-18,2.761463414634146
2019-03-19,2.919841463414634
2019-03-20,2.8142560975609756
2019-03-21,2.911719512195122
2019-03-22,2.854865853658537
2019-03-25,2.708670731707317
2019-03-26,2.659939024390244
2019-03-27,2.574658536585366
2019-03-28,2.582780487804878
2019-03-29,2.8305000000000002
2019-04-01,2.9807560975609757
2019-04-02,2.8873536585365858
2019-04-03,2.854865853658537
2019-04-04,2.8386219512195123
2019-04-08,2.7249146341463413
2019-04-09,2.781768292682927
2019-04-10,2.668060975609756
2019-04-11,2.6883658536585364
2019-04-12,2.6802439024390243
2019-04-15,2.8467439024390244
2019-04-16,3.224414634146342
2019-04-17,3.118829268292683
2019-04-18,3.0579146341463415
2019-04-19,3.1025853658536584
2019-04-22,2.9360853658536588
2019-04-23,2.8670487804878046
2019-04-24,3.053853658536585
2019-04-25,2.9807560975609757
2019-04-26,3.1553780487804874
2019-04-29,2.9726341463414636
2019-04-30,3.0335487804878047
2019-05-06,2.5949634146341465
2019-05-07,2.4650121951219517
2019-05-08,2.456890243902439
2019-05-09,2.452829268292683
2019-05-10,2.712731707317073
2019-05-13,2.733036585365854
2019-05-14,2.6436951219512195
2019-05-15,2.785829268292683
2019-05-16,2.6883658536585364
2019-05-17,2.546231707317073
2019-05-20,2.5015609756097565
2019-05-21,2.538109756097561
2019-05-22,2.615268292682927
2019-05-23,2.4893780487804875
2019-05-24,2.391914634146341
2019-05-27,2.546231707317073
2019-05-28,2.5665365853658537
2019-05-29,2.542170731707317
2019-05-30,2.485317073170732
2019-05-31,2.5137439024390247
2019-06-03,2.659939024390244
2019-06-04,2.6396341463414634
2019-06-05,2.7208536585365852
2019-06-06,2.6639999999999997
2019-06-10,2.708670731707317
2019-06-11,2.8832926829268293
2019-06-12,2.911719512195122
2019-06-13,3.025426829268293
2019-06-14,2.8670487804878046
2019-06-17,2.956390243902439
2019-06-18,2.8792317073170732
2019-06-19,2.940146341463415
2019-06-20,3.167560975609756
2019-06-21,3.3096951219512194
2019-06-24,3.3299999999999996
2019-06-25,3.200048780487805
2019-06-26,3.269085365853659
2019-06-27,3.439646341463415
2019-06-28,3.4193414634146344
