code,stock_name,normalized_industry,previous_tier,current_tier,previous_quant_score,current_quant_score,change_type,detail
002371,北方华创,半导体,REJECTED,REJECTED,54.94,54.94,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
603986,兆易创新,半导体,REJECTED,REJECTED,46.32,46.32,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
688981,中芯国际,半导体,REJECTED,REJECTED,54.02,54.02,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
300782,卓胜微,半导体,REJECTED,REJECTED,58.9052,58.9052,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600703,三安光电,UNRESOLVED,TIER_C,TIER_C,52.86,52.86,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000977,浪潮信息,UNRESOLVED,REJECTED,REJECTED,53.06,53.06,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
002230,科大讯飞,UNRESOLVED,TIER_C,TIER_C,66.0234,66.0234,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
600570,恒生电子,UNRESOLVED,REJECTED,REJECTED,69.1946,69.1946,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
300454,深信服,UNRESOLVED,TIER_C,TIER_C,64.2423,64.2423,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000333,美的集团,家电,REJECTED,REJECTED,63.74,63.74,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
000651,格力电器,家电,REJECTED,REJECTED,68.45,68.45,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
600690,海尔智家,家电,TIER_C,TIER_C,84.6452,84.6452,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002415,海康威视,UNRESOLVED,REJECTED,REJECTED,68.87,68.87,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
002241,歌尔股份,UNRESOLVED,TIER_C,TIER_C,58.2685,58.2685,UNCHANGED,补齐行业周期证据并检查是否过期或冲突。
601668,中国建筑,UNRESOLVED,TIER_C,TIER_C,56.1815,56.1815,UNCHANGED,补充历史退出画像验证，未通过前不得进入 A 类。
