code,stock_name,stage,status,issue,detail
,,auto_evidence_collection,MISSING,specific_article_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:21+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Official listing page contains the industry keyword, but no concrete dated article with numeric context was verified."", ""industry"": ""家电"", ""issue"": ""specific_article_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:22+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""家电"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:22+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""医药"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:22+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""医药"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""物流"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""物流"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""食品饮料"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:23+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""食品饮料"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:24+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""航运"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:24+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""航运"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,FAILED,article_publish_date_missing,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:25+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Concrete article was fetched, but a publication date was not located."", ""industry"": ""化工"", ""issue"": ""article_publish_date_missing"", ""original_url"": ""https://www.miit.gov.cn/gxsj/tjfx/yclgy/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""FAILED"", ""stock_name"": """", ""title"": ""钢铁 有色 石化化工 建材 稀土""}"
,,auto_evidence_collection,MISSING,specific_article_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:25+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Official listing page contains the industry keyword, but no concrete dated article with numeric context was verified."", ""industry"": ""化工"", ""issue"": ""specific_article_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:26+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""机场航空"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:26+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""机场航空"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:27+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""白酒"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:27+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""白酒"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,FAILED,article_publish_date_missing,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:28+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Concrete article was fetched, but a publication date was not located."", ""industry"": ""钢铁"", ""issue"": ""article_publish_date_missing"", ""original_url"": ""https://www.miit.gov.cn/gxsj/tjfx/yclgy/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""FAILED"", ""stock_name"": """", ""title"": ""钢铁 有色 石化化工 建材 稀土""}"
,,auto_evidence_collection,MISSING,specific_article_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:28+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Official listing page contains the industry keyword, but no concrete dated article with numeric context was verified."", ""industry"": ""钢铁"", ""issue"": ""specific_article_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:28+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""钢铁"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,FAILED,article_publish_date_missing,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:29+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Concrete article was fetched, but a publication date was not located."", ""industry"": ""汽车"", ""issue"": ""article_publish_date_missing"", ""original_url"": ""https://www.miit.gov.cn/gxsj/tjfx/zbgy/qc/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""FAILED"", ""stock_name"": """", ""title"": ""汽车""}"
,,auto_evidence_collection,FAILED,article_publish_date_missing,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:29+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Concrete article was fetched, but a publication date was not located."", ""industry"": ""汽车"", ""issue"": ""article_publish_date_missing"", ""original_url"": ""https://www.miit.gov.cn/datainfo/zysjk/xnyqcdlxdchsfwwdxx/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""FAILED"", ""stock_name"": """", ""title"": ""新能源汽车动力蓄电池回收服务网点信息""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:30+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""汽车"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:30+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""石油石化"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:31+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""石油石化"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:31+00:00"", ""collector"": ""miit_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""UNRESOLVED"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.miit.gov.cn/gxsj/index.html"", ""scope"": ""industry"", ""source_domain"": ""www.miit.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""工业和信息化部公开数据""}"
,,auto_evidence_collection,MISSING,industry_keyword_not_found,"{""cache_hit"": true, ""code"": """", ""collected_at"": ""2026-07-07T18:29:32+00:00"", ""collector"": ""ndrc_public_data"", ""detail"": ""Fetched official page with html_text, but industry keyword was not located."", ""industry"": ""UNRESOLVED"", ""issue"": ""industry_keyword_not_found"", ""original_url"": ""https://www.ndrc.gov.cn/fgsj/"", ""scope"": ""industry"", ""source_domain"": ""www.ndrc.gov.cn"", ""status"": ""MISSING"", ""stock_name"": """", ""title"": ""国家发展改革委公开数据""}"
