code,stock_name,raw_industry,normalized_industry,as_of_date,latest_price_date,close,quant_score,quant_screen_status,quant_reason,price_position_score,price_percentile_5y,distance_from_5y_low_pct,trend_confirmation_level,trend_stabilization_score,relative_strength_20d,relative_strength_60d,valuation_score,financial_safety_score,execution_risk_score,execution_risk_quality,value_trap_score,hard_reject_blockers,soft_blockers,next_evidence_needed,missing_fields,risk_flags,disclaimer
002812,恩捷股份,锂电,锂电,2026-07-07,2026-07-07,67.72,62.46,SECONDARY_RESEARCH,5年价格分位 0.5237；趋势确认 WEAK；估值 FAILED；财务 PASSED；待确认：price_not_low_enough;valuation_failed,35.0,0.5237302248126561,176.747,WEAK,72.0,20.3749,31.5919,32.0,78.0,0.0,good,18.0,,price_not_low_enough;valuation_failed,industry_cycle_evidence;company_cycle_evidence;valuation_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:动力电池装机;industry_evidence:新能源车销量;industry_evidence:碳酸锂价格;net_profit;operating_cash_flow;ps;roe,deep_below_5y_high_risk;extended_above_ma250_risk;extended_from_5y_low_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
688599,天合光能,光伏,光伏,2026-07-07,2026-07-07,13.06,60.8356,SECONDARY_RESEARCH,5年价格分位 0.0017；趋势确认 NONE；估值 PASSED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0016515276630883566,1.0836,NONE,15.0,8.4047,13.4843,69.0,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:产业链库存;industry_evidence:硅料价格;industry_evidence:组件排产;net_profit;operating_cash_flow;pe;ps;roe,below_ma250_deep_risk;debt_ratio_high;deep_below_5y_high_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600011,华能国际,电力,公用事业,2026-07-07,2026-07-07,6.8,59.6624,SECONDARY_RESEARCH,5年价格分位 0.46；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,55.0,0.4599504541701073,134.4828,NONE,15.0,-5.5659,38.6247,87.0,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300782,卓胜微,半导体,半导体,2026-07-07,2026-07-07,91.42,58.9052,SECONDARY_RESEARCH,5年价格分位 0.3584；趋势确认 NONE；估值 DEGRADED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,55.0,0.3583815028901734,54.9544,NONE,23.0,6.9302,34.1999,49.0,78.0,0.0,good,18.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;pe;ps;roe,falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600438,通威股份,光伏,光伏,2026-07-07,2026-07-07,11.45,58.8219,SECONDARY_RESEARCH,5年价格分位 0.0008；趋势确认 NONE；估值 PASSED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.0008326394671107411,0.0,NONE,0.0,-1.6312,3.1786,84.0,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:产业链库存;industry_evidence:硅料价格;industry_evidence:组件排产;net_profit;operating_cash_flow;pe;ps;roe,accelerating_downtrend;below_ma250_deep_risk;debt_ratio_high;deep_below_5y_high_risk;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
002241,歌尔股份,电子,UNRESOLVED,2026-07-07,2026-07-07,21.08,58.2685,SECONDARY_RESEARCH,5年价格分位 0.3815；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,55.0,0.3815028901734104,54.0823,NONE,15.0,0.7956,23.667,79.5,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,below_ma250_deep_risk;falling_knife_risk;industry_alias_unresolved;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
600905,三峡能源,公用事业,公用事业,2026-07-07,2026-07-07,3.74,58.1994,SECONDARY_RESEARCH,5年价格分位 0.0025；趋势确认 NONE；估值 DEGRADED；财务 DEGRADED；待确认：falling_knife_not_cleared;trend_not_stabilized,90.0,0.002477291494632535,0.8086,NONE,15.0,0.3169,23.9185,49.5,50.0,0.0,good,55.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601877,正泰电器,电力设备,电力设备,2026-07-07,2026-07-07,24.5,57.8787,SECONDARY_RESEARCH,5年价格分位 0.4302；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;trend_not_stabilized,55.0,0.43022295623451695,54.6034,NONE,15.0,5.0941,9.6238,79.5,70.0,0.0,good,33.0,,falling_knife_not_cleared;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
300124,汇川技术,电力设备,电力设备,2026-07-07,2026-07-07,66.05,57.2577,SECONDARY_RESEARCH,5年价格分位 0.6028；趋势确认 NONE；估值 PASSED；财务 PASSED；待确认：falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized,35.0,0.6028075970272502,69.3981,NONE,33.0,-1.8258,32.0173,79.5,70.0,0.0,good,33.0,,falling_knife_not_cleared;price_not_low_enough;trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,falling_knife_risk;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
601668,中国建筑,建筑,UNRESOLVED,2026-07-07,2026-07-07,4.48,56.1815,SECONDARY_RESEARCH,5年价格分位 0.2709；趋势确认 NONE；估值 DEGRADED；财务 DEGRADED；待确认：trend_not_stabilized,75.0,0.2708505367464905,32.3877,NONE,23.0,4.8594,22.4272,49.5,50.0,0.0,good,55.0,,trend_not_stabilized,industry_cycle_evidence;company_cycle_evidence;financial_safety_review;trend_confirmation,company_evidence;industry_cycle;industry_evidence;industry_evidence:industry_evidence;net_profit;operating_cash_flow;ps;roe,debt_ratio_high;industry_alias_unresolved;missing_company_evidence;missing_evidence_blocks_hard_logic;missing_industry_evidence;missing_second_low_confirmation,仅用于公开数据研究观察和人工复核，不构成买入建议，不应自动交易。
